,Volume (t-10),Volume (t-9),Volume (t-8),Volume (t-7),Volume (t-6),Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-10),Close (t-9),Close (t-8),Close (t-7),Close (t-6),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
0,22037060,48018480.0,19442640.0,12683080.0,14123420.0,15478580.0,8689340.0,9470220.0,7033160.0,6511840.0,52.94494476318359,92.18218231201172,73.18118133544922,69.39839935302734,68.26226196289062,62.62562637329101,59.44844741821289,55.084083557128906,50.82182159423828,51.920921325683594,95.88688659667969,1
1,6511840,29183540.0,48018480.0,19442640.0,12683080.0,14123420.0,15478580.0,8689340.0,9470220.0,7033160.0,51.920921325683594,95.88688659667969,92.18218231201172,73.18118133544922,69.39839935302734,68.26226196289062,62.62562637329101,59.44844741821289,55.084083557128906,50.82182159423828,86.23423309326172,1
2,7033160,27060320.0,29183540.0,48018480.0,19442640.0,12683080.0,14123420.0,15478580.0,8689340.0,9470220.0,50.82182159423828,86.23423309326172,95.88688659667969,92.18218231201172,73.18118133544922,69.39839935302734,68.26226196289062,62.62562637329101,59.44844741821289,55.084083557128906,88.0330307006836,1
3,9470220,33697220.0,27060320.0,29183540.0,48018480.0,19442640.0,12683080.0,14123420.0,15478580.0,8689340.0,55.084083557128906,88.0330307006836,86.23423309326172,95.88688659667969,92.18218231201172,73.18118133544922,69.39839935302734,68.26226196289062,62.62562637329101,59.44844741821289,85.70270080566407,1
4,8689340,22102580.0,33697220.0,27060320.0,29183540.0,48018480.0,19442640.0,12683080.0,14123420.0,15478580.0,59.44844741821289,85.70270080566407,88.0330307006836,86.23423309326172,95.88688659667969,92.18218231201172,73.18118133544922,69.39839935302734,68.26226196289062,62.62562637329101,90.36936798095704,1
5,15478580,15328920.0,22102580.0,33697220.0,27060320.0,29183540.0,48018480.0,19442640.0,12683080.0,14123420.0,62.62562637329101,90.36936798095704,85.70270080566407,88.0330307006836,86.23423309326172,95.88688659667969,92.18218231201172,73.18118133544922,69.39839935302734,68.26226196289062,86.36436462402344,1
6,14123420,13042040.0,15328920.0,22102580.0,33697220.0,27060320.0,29183540.0,48018480.0,19442640.0,12683080.0,68.26226196289062,86.36436462402344,90.36936798095704,85.70270080566407,88.0330307006836,86.23423309326172,95.88688659667969,92.18218231201172,73.18118133544922,69.39839935302734,88.63563537597656,1
7,12683080,17317420.0,13042040.0,15328920.0,22102580.0,33697220.0,27060320.0,29183540.0,48018480.0,19442640.0,69.39839935302734,88.63563537597656,86.36436462402344,90.36936798095704,85.70270080566407,88.0330307006836,86.23423309326172,95.88688659667969,92.18218231201172,73.18118133544922,93.58157958984376,1
8,19442640,11578940.0,17317420.0,13042040.0,15328920.0,22102580.0,33697220.0,27060320.0,29183540.0,48018480.0,73.18118133544922,93.58157958984376,88.63563537597656,86.36436462402344,90.36936798095704,85.70270080566407,88.0330307006836,86.23423309326172,95.88688659667969,92.18218231201172,97.973974609375,1
9,48018480,14481820.0,11578940.0,17317420.0,13042040.0,15328920.0,22102580.0,33697220.0,27060320.0,29183540.0,92.18218231201172,97.973974609375,93.58157958984376,88.63563537597656,86.36436462402344,90.36936798095704,85.70270080566407,88.0330307006836,86.23423309326172,95.88688659667969,96.64364318847656,1
