,Volume (t-10),Volume (t-9),Volume (t-8),Volume (t-7),Volume (t-6),Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-10),Close (t-9),Close (t-8),Close (t-7),Close (t-6),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
0,65414400.0,67654080.0,89183520.0,74969600.0,67759520.0,59620480.0,88590320.0,74452080.0,63636720.0,39145840.0,16.3171875,16.3015625,17.1734375,18.334375,19.528125,19.790625,19.55625,21.03125,20.4609375,20.421875,20.490625,1
1,67654080.0,89183520.0,74969600.0,67759520.0,59620480.0,88590320.0,74452080.0,63636720.0,39145840.0,45877840.0,16.3015625,17.1734375,18.334375,19.528125,19.790625,19.55625,21.03125,20.4609375,20.421875,20.490625,21.8875,1
2,89183520.0,74969600.0,67759520.0,59620480.0,88590320.0,74452080.0,63636720.0,39145840.0,45877840.0,53670960.0,17.1734375,18.334375,19.528125,19.790625,19.55625,21.03125,20.4609375,20.421875,20.490625,21.8875,22.70625,1
3,74969600.0,67759520.0,59620480.0,88590320.0,74452080.0,63636720.0,39145840.0,45877840.0,53670960.0,46329440.0,18.334375,19.528125,19.790625,19.55625,21.03125,20.4609375,20.421875,20.490625,21.8875,22.70625,22.1125,0
4,67759520.0,59620480.0,88590320.0,74452080.0,63636720.0,39145840.0,45877840.0,53670960.0,46329440.0,38935280.0,19.528125,19.790625,19.55625,21.03125,20.4609375,20.421875,20.490625,21.8875,22.70625,22.1125,23.234375,1
5,59620480.0,88590320.0,74452080.0,63636720.0,39145840.0,45877840.0,53670960.0,46329440.0,38935280.0,43014080.0,19.790625,19.55625,21.03125,20.4609375,20.421875,20.490625,21.8875,22.70625,22.1125,23.234375,23.284375,1
6,88590320.0,74452080.0,63636720.0,39145840.0,45877840.0,53670960.0,46329440.0,38935280.0,43014080.0,62245040.0,19.55625,21.03125,20.4609375,20.421875,20.490625,21.8875,22.70625,22.1125,23.234375,23.284375,22.303125,0
7,74452080.0,63636720.0,39145840.0,45877840.0,53670960.0,46329440.0,38935280.0,43014080.0,62245040.0,45851760.0,21.03125,20.4609375,20.421875,20.490625,21.8875,22.70625,22.1125,23.234375,23.284375,22.303125,21.271875,0
8,63636720.0,39145840.0,45877840.0,53670960.0,46329440.0,38935280.0,43014080.0,62245040.0,45851760.0,67605840.0,20.4609375,20.421875,20.490625,21.8875,22.70625,22.1125,23.234375,23.284375,22.303125,21.271875,21.89375,1
9,39145840.0,45877840.0,53670960.0,46329440.0,38935280.0,43014080.0,62245040.0,45851760.0,67605840.0,71247120.0,20.421875,20.490625,21.8875,22.70625,22.1125,23.234375,23.284375,22.303125,21.271875,21.89375,21.365625,0
10,45877840.0,53670960.0,46329440.0,38935280.0,43014080.0,62245040.0,45851760.0,67605840.0,71247120.0,42311200.0,20.490625,21.8875,22.70625,22.1125,23.234375,23.284375,22.303125,21.271875,21.89375,21.365625,21.234375,0
11,53670960.0,46329440.0,38935280.0,43014080.0,62245040.0,45851760.0,67605840.0,71247120.0,42311200.0,36371280.0,21.8875,22.70625,22.1125,23.234375,23.284375,22.303125,21.271875,21.89375,21.365625,21.234375,21.553125,1
12,46329440.0,38935280.0,43014080.0,62245040.0,45851760.0,67605840.0,71247120.0,42311200.0,36371280.0,31203280.0,22.70625,22.1125,23.234375,23.284375,22.303125,21.271875,21.89375,21.365625,21.234375,21.553125,21.896875,1
13,38935280.0,43014080.0,62245040.0,45851760.0,67605840.0,71247120.0,42311200.0,36371280.0,31203280.0,52545360.0,22.1125,23.234375,23.284375,22.303125,21.271875,21.89375,21.365625,21.234375,21.553125,21.896875,24.36875,1
14,43014080.0,62245040.0,45851760.0,67605840.0,71247120.0,42311200.0,36371280.0,31203280.0,52545360.0,81964960.0,23.234375,23.284375,22.303125,21.271875,21.89375,21.365625,21.234375,21.553125,21.896875,24.36875,26.559375,1
15,62245040.0,45851760.0,67605840.0,71247120.0,42311200.0,36371280.0,31203280.0,52545360.0,81964960.0,68207280.0,23.284375,22.303125,21.271875,21.89375,21.365625,21.234375,21.553125,21.896875,24.36875,26.559375,27.19375,1
16,45851760.0,67605840.0,71247120.0,42311200.0,36371280.0,31203280.0,52545360.0,81964960.0,68207280.0,36059040.0,22.303125,21.271875,21.89375,21.365625,21.234375,21.553125,21.896875,24.36875,26.559375,27.19375,29.1,1
17,67605840.0,71247120.0,42311200.0,36371280.0,31203280.0,52545360.0,81964960.0,68207280.0,36059040.0,57081520.0,21.271875,21.89375,21.365625,21.234375,21.553125,21.896875,24.36875,26.559375,27.19375,29.1,28.875,0
18,71247120.0,42311200.0,36371280.0,31203280.0,52545360.0,81964960.0,68207280.0,36059040.0,57081520.0,65238480.0,21.89375,21.365625,21.234375,21.553125,21.896875,24.36875,26.559375,27.19375,29.1,28.875,28.346875,0
19,42311200.0,36371280.0,31203280.0,52545360.0,81964960.0,68207280.0,36059040.0,57081520.0,65238480.0,66045440.0,21.365625,21.234375,21.553125,21.896875,24.36875,26.559375,27.19375,29.1,28.875,28.346875,26.703125,0
20,36371280.0,31203280.0,52545360.0,81964960.0,68207280.0,36059040.0,57081520.0,65238480.0,66045440.0,81440080.0,21.234375,21.553125,21.896875,24.36875,26.559375,27.19375,29.1,28.875,28.346875,26.703125,26.1375,0
21,31203280.0,52545360.0,81964960.0,68207280.0,36059040.0,57081520.0,65238480.0,66045440.0,81440080.0,53533040.0,21.553125,21.896875,24.36875,26.559375,27.19375,29.1,28.875,28.346875,26.703125,26.1375,27.296875,1
22,52545360.0,81964960.0,68207280.0,36059040.0,57081520.0,65238480.0,66045440.0,81440080.0,53533040.0,51982160.0,21.896875,24.36875,26.559375,27.19375,29.1,28.875,28.346875,26.703125,26.1375,27.296875,27.78125,1
23,81964960.0,68207280.0,36059040.0,57081520.0,65238480.0,66045440.0,81440080.0,53533040.0,51982160.0,52709600.0,24.36875,26.559375,27.19375,29.1,28.875,28.346875,26.703125,26.1375,27.296875,27.78125,25.1125,0
24,68207280.0,36059040.0,57081520.0,65238480.0,66045440.0,81440080.0,53533040.0,51982160.0,52709600.0,95295600.0,26.559375,27.19375,29.1,28.875,28.346875,26.703125,26.1375,27.296875,27.78125,25.1125,25.2921875,1
25,36059040.0,57081520.0,65238480.0,66045440.0,81440080.0,53533040.0,51982160.0,52709600.0,95295600.0,59348800.0,27.19375,29.1,28.875,28.346875,26.703125,26.1375,27.296875,27.78125,25.1125,25.2921875,26.640625,1
26,57081520.0,65238480.0,66045440.0,81440080.0,53533040.0,51982160.0,52709600.0,95295600.0,59348800.0,45976240.0,29.1,28.875,28.346875,26.703125,26.1375,27.296875,27.78125,25.1125,25.2921875,26.640625,27.69375,1
27,65238480.0,66045440.0,81440080.0,53533040.0,51982160.0,52709600.0,95295600.0,59348800.0,45976240.0,53123520.0,28.875,28.346875,26.703125,26.1375,27.296875,27.78125,25.1125,25.2921875,26.640625,27.69375,27.121875,0
28,66045440.0,81440080.0,53533040.0,51982160.0,52709600.0,95295600.0,59348800.0,45976240.0,53123520.0,52071200.0,28.346875,26.703125,26.1375,27.296875,27.78125,25.1125,25.2921875,26.640625,27.69375,27.121875,24.05,0
