,t-1,t,movement
0,6121411400.4707985,103.776,1
1,6121211835.110399,104.05799999999999,1
2,7534796658.364799,108.602,1
3,10698530110.548801,112.96000000000001,1
4,6448666602.432001,117.872,1
5,7512006370.144,123.06800000000001,1
6,6866785937.308001,123.33399999999999,1
7,8959288491.657999,121.276,0
8,7334290092.582399,117.49600000000001,0
9,6772141602.6608,120.91000000000001,1
10,6832213151.092001,118.596,0
11,5458737186.103201,119.23999999999998,1
12,4695465964.111999,120.2,1
13,4346942152.84,120.16199999999999,0
14,4772292324.861599,123.88,1
15,8962790519.352001,121.11800000000001,0
16,7783116465.085601,120.16,0
17,6590333378.624,122.91199999999999,1
18,5500763799.929599,125.146,1
19,6249283747.9408,124.55799999999999,0
20,4655327548.3008,122.56400000000001,0
21,5699175430.0936,121.694,0
22,4606193739.700801,121.62,0
23,5345173143.588,120.4,0
24,5040815936.8,118.48400000000001,0
25,5998499894.592,120.21799999999999,1
26,5149863965.0416,122.69800000000001,1
27,8955434704.2848,117.58,0
28,4703438734.432,111.73800000000001,0
29,9107358368.803202,111.03399999999999,0
30,7896152619.9248,110.678,0
31,5430007269.7392,102.6214,0
32,12319751899.49672,106.69200000000001,1
33,6707962213.411201,107.08399999999999,1
34,6761204796.258399,110.316,1
35,6381466574.4744,109.78800000000001,0
36,5557168048.2864,105.79,0
37,6927419170.39,106.31199999999998,1
38,5819738371.755199,106.696,1
39,4115302341.0096,110.026,1
40,5097586065.2556,112.952,1
41,7596398627.148801,116.72,1
42,4744889464.528,111.97,0
43,5037152826.736,112.30199999999999,1
44,4432132855.4939995,113.748,1
45,3518306742.3240004,112.85799999999999,0
46,4680628113.089999,110.848,0
47,5106361257.2671995,104.77800000000002,0
48,6494597816.925602,103.862,0
49,2948902271.2204,100.3888,0
50,5085927040.45152,94.2132,0
51,5953024332.31824,93.65619999999998,0
52,6016715190.477639,94.03380000000001,1
53,7046748517.276441,92.75639999999999,0
54,4336417112.673359,91.3754,0
55,4247083141.87604,93.12920000000001,1
56,3787176587.7528005,93.1854,1
57,2885250841.5099597,97.283,1
58,3819408503.683,98.24159999999999,1
59,2964886748.77536,101.5966,1
60,3821993604.27892,102.53000000000002,1
61,2926937792.5620003,105.96199999999999,1
62,3455039695.8783994,105.896,0
63,2821486246.656,106.846,1
64,4088735587.5448,102.75399999999999,0
65,3096350051.1324,93.77200000000002,0
66,6622832718.454402,90.95439999999999,0
67,3797519540.8955193,89.7264,0
68,4306734781.77888,92.303,1
69,3430284873.7058,97.0214,1
70,3829010713.29056,95.782,0
71,2665816539.2808,95.8736,1
72,2701667695.18528,93.6922,0
73,3396514156.4485598,91.67839999999998,0
74,3819385897.159359,92.80199999999999,1
75,2806667420.9783998,94.249,1
76,2254094917.4698,96.84559999999999,1
77,2927319720.9843197,96.4226,0
78,4442734393.94944,102.22999999999999,1
79,3307518342.0799994,105.46,1
80,2845851514.5119996,106.56599999999999,1
81,2638832028.4068,106.5,0
82,2382447152.7000003,104.45599999999999,0
83,2606515741.896,104.96999999999998,1
84,3475214875.6919994,106.502,1
85,7420165616.5164,111.67,1
86,4869843719.13,110.606,0
87,3789181404.9472003,110.73800000000001,1
88,2975672446.9204006,113.728,1
89,4474777007.2064,114.92400000000002,1
90,2855567792.1648006,114.08399999999999,0
91,4089899398.363199,109.80999999999999,0
92,3592097208.996,108.05799999999999,0
93,4336237913.623199,106.526,0
94,4368506091.95,109.55799999999999,1
95,2488559222.7344,108.83999999999999,0
96,3195484279.4399996,109.474,1
97,3249005695.4732003,113.272,1
98,4196558530.2128,114.85,1
99,2468460414.89,114.704,0
100,2561540226.1312,115.86800000000001,1
101,2965906542.8104005,117.71600000000001,1
102,3181945528.052,118.44000000000001,1
103,3032275675.9680004,121.172,1
104,5550052336.5272,128.23,1
105,3659852283.884,132.12600000000003,1
106,3479763986.908801,134.7,1
107,2747352568.6799994,136.276,1
108,3366336712.7096004,137.658,1
109,2623716713.6183996,138.084,1
110,2686206820.5504003,139.1,1
111,4087237032.58,141.026,1
112,3514121716.8092003,142.3,1
113,3038280085.92,140.55599999999998,0
114,2865596300.9231997,140.048,0
115,2415100114.5248003,142.198,1
116,2614683585.0688004,145.63,1
117,5134362939.962,152.53400000000002,1
118,5336979819.298801,152.254,0
119,4818271892.9484,152.572,1
120,3171629905.1192,152.646,1
121,3504959514.3263993,150.70800000000003,0
122,6248443471.826401,143.848,0
123,5216075780.352,144.632,1
124,3682128032.7152004,143.07800000000003,0
125,3330699312.6680007,143.24,1
126,3036034796.952,147.32600000000002,1
127,3315564411.0260005,150.16000000000003,1
128,3132690806.352,149.334,0
129,3587408420.478,156.418,1
130,5511011106.202001,158.368,1
131,4562068745.9648,158.092,0
132,4138756139.4168,160.124,1
133,3850542051.1488,162.49200000000002,1
134,3968058897.2904005,159.804,0
135,6361409939.0255995,157.75799999999998,0
136,5492043452.219999,152.094,0
137,5811083078.2704,153.28199999999998,1
138,3177181747.9235997,155.23600000000002,1
139,2722664426.9336004,158.054,1
140,2921182098.3904004,155.822,0
141,3974435261.4728,164.03199999999998,1
142,5785447318.745599,172.562,1
143,6382434111.112801,174.95999999999998,1
