,t-1,t-2,t-3,t-4,t-5,t,movement
29,160.128,153.57000000000002,144.569,149.94349999999997,148.154,154.59250000000003,0
15,97.4368,93.51155,93.7082,98.5816,103.99615,105.7455,1
24,140.98250000000002,137.77949999999998,129.05700000000002,116.68199999999996,111.60899999999997,148.154,1
17,108.437,105.7455,97.4368,93.51155,93.7082,113.3685,1
8,100.8105,112.439,112.917,107.14650000000002,106.67835,92.95545,0
9,92.95545,100.8105,112.439,112.917,107.14650000000002,95.4598,1
30,154.59250000000003,160.128,153.57000000000002,144.569,149.94349999999997,162.61749999999998,1
25,148.154,140.98250000000002,137.77949999999998,129.05700000000002,116.68199999999996,149.94349999999997,1
12,98.5816,103.99615,95.4598,92.95545,100.8105,93.7082,0
0,122.33399999999996,120.8705,119.5695,119.30849999999998,104.7395,122.609,1
