,t-1,t,movement
104,124.16,123.47,0
114,121.49,122.03,1
647,148.39,147.62,0
425,100.98,103.24,1
676,158.06,160.92,1
423,106.1,103.32,0
92,122.89,124.23,1
7,104.35,103.95,0
89,120.12,120.26,1
605,152.52,151.61,0
552,137.39,138.83,1
537,135.12,135.53,1
539,134.92,135.08,1
408,107.1,106.93,0
449,114.54,115.18,1
582,142.02,142.13,1
140,118.81,117.17,0
28,120.19,120.77,1
43,120.32,120.82,1
42,120.14,120.32,1
73,121.27,120.6,0
167,103.26,107.7,1
247,104.01,102.83,0
630,143.02,141.66,0
66,120.28,120.78,1
11,102.9,103.72,1
331,94.678,91.792,0
587,145.37,144.84,0
178,109.22,108.76,0
291,97.309,97.522,1
662,156.94,156.65,0
439,109.85,110.68,1
689,153.68,152.73,0
456,115.2,115.78,1
177,111.59,109.22,0
493,113.99,114.14,1
481,109.7,108.77,0
83,122.3,119.57,0
218,111.41,108.15,0
490,111.51,113.36,1
349,93.909,95.342,1
15,107.06,103.31,0
416,104.7,104.59,0
256,93.349,94.86,1
437,110.72,111.58,1
314,107.56,106.3,0
645,152.31,149.43,0
549,137.08,137.54,1
336,91.174,90.804,0
673,161.5,161.33,0
369,93.404,93.063,0
9,101.12,100.32,0
249,104.68,103.32,0
22,113.17,113.99,1
221,109.46,112.91,1
468,109.13,106.08,0
705,155.42,155.69,1
367,92.839,92.616,0
602,152.19,152.72,1
203,110.72,114.16,1
434,112.23,110.36,0
93,124.23,124.11,0
382,94.445,94.874,1
299,98.984,99.233,1
656,154.76,156.92,1
184,109.96,107.8,0
581,142.87,142.02,0
319,105.53,106.91,1
153,110.47,110.38,0
75,122.22,123.24,1
595,154.53,154.31,0
277,91.948,91.252,0
68,120.54,120.03,0
550,137.54,137.6,1
188,105.04,105.82,1
271,92.839,90.961,0
236,111.31,111.84,1
88,120.54,120.12,0
610,153.3,154.21,1
117,121.78,121.23,0
125,120.66,120.25,0
591,152.21,151.49,0
289,93.808,93.594,0
238,108.97,108.29,0
0,103.5,100.58,0
712,166.12,168.43,1
457,115.78,113.17,0
627,142.61,142.95,1
436,110.52,110.72,1
278,91.252,90.7,0
116,120.81,121.78,1
228,113.41,113.9,1
338,90.296,90.366,1
351,96.998,97.787,1
274,93.506,91.009,0
479,110.02,109.81,0
144,116.78,115.76,0
417,104.59,103.78,0
409,106.93,106.81,0
651,154.4,155.22,1
584,141.99,144.89,1
268,89.941,90.585,1
503,113.99,114.31,1
307,102.73,102.28,0
310,104.24,106.05,1
46,116.16,116.79,1
261,93.512,93.059,0
195,106.99,107.16,1
720,175.25,174.67,0
603,152.72,152.46,0
107,121.97,121.61,0
500,115.41,114.92,0
538,135.53,134.92,0
363,94.796,94.914,1
100,125.75,124.31,0
596,154.31,149.12,0
644,151.6,152.31,1
522,119.7,119.43,0
420,104.5,105.48,1
179,108.76,110.44,1
304,102.53,102.52,0
445,111.69,113.63,1
692,153.26,153.92,1
149,110.37,110.74,1
124,120.81,120.66,0
569,142.0,141.68,0
625,142.66,144.74,1
185,107.8,104.55,0
464,108.09,107.11,0
429,113.15,112.53,0
685,152.84,151.35,0
710,156.85,162.47,1
377,93.384,92.556,0
321,108.44,108.5,1
664,159.21,159.41,1
142,117.75,117.39,0
141,117.17,117.75,1
428,109.44,113.15,1
320,106.91,108.44,1
19,110.91,112.3,1
172,105.6,107.92,1
585,144.89,145.81,1
312,105.5,106.46,1
670,162.76,163.41,1
12,103.72,106.39,1
305,102.52,103.3,1
354,97.251,95.886,0
25,113.77,115.96,1
536,134.15,135.12,1
169,105.81,104.74,0
38,122.08,122.67,1
535,133.78,134.15,1
245,103.23,104.56,1
298,97.935,98.984,1
470,106.72,104.04,0
272,90.961,92.761,1
154,110.38,111.16,1
126,120.25,119.95,0
517,118.19,118.07,0
341,90.093,87.979,0
287,93.022,93.66,1
113,121.78,121.49,0
462,109.17,109.27,1
173,107.92,109.49,1
359,96.442,96.354,0
653,157.62,158.88,1
57,118.07,117.14,0
480,109.81,109.7,0
222,112.91,114.36,1
280,90.98,93.545,1
17,109.16,112.57,1
440,110.68,110.18,0
322,108.5,106.34,0
255,92.857,93.349,1
634,144.44,144.65,1
690,152.73,153.57,1
190,106.2,106.71,1
650,155.97,154.4,0
636,146.66,147.93,1
405,105.68,105.93,1
94,124.11,124.1,0
180,110.44,108.71,0
301,101.24,102.57,1
521,120.02,119.7,0
529,129.95,130.89,1
699,155.99,155.44,0
514,118.09,117.89,0
635,144.65,146.66,1
465,107.11,108.66,1
5,106.04,103.42,0
706,155.69,155.61,0
45,118.32,116.16,0
511,117.37,117.16,0
543,138.18,137.36,0
171,107.67,105.6,0
16,103.31,109.16,1
48,117.47,118.74,1
696,154.74,155.28,1
659,161.02,160.37,0
3,102.01,105.93,1
486,108.21,109.28,1
447,113.88,114.9,1
316,107.41,105.06,0
704,159.19,155.42,0
283,93.177,92.965,0
96,125.41,126.49,1
285,93.778,91.659,0
448,114.9,114.54,0
225,113.35,114.45,1
26,115.96,118.67,1
652,155.22,157.62,1
263,93.184,92.712,0
50,120.73,122.09,1
364,94.914,94.602,0
229,113.9,112.95,0
37,123.93,122.08,0
157,111.68,110.25,0
237,111.84,108.97,0
691,153.57,153.26,0
374,91.145,91.934,1
370,93.063,93.589,1
175,110.54,111.47,1
611,154.21,153.83,0
127,119.95,116.97,0
531,130.6,131.75,1
194,107.49,106.99,0
613,147.87,144.33,0
621,144.78,144.54,0
604,152.46,152.52,1
482,108.77,107.76,0
485,107.38,108.21,1
695,154.83,154.74,0
671,163.41,163.46,1
619,145.25,143.92,0
67,120.78,120.54,0
478,109.47,110.02,1
168,107.7,105.81,0
444,111.52,111.69,1
590,151.24,152.21,1
162,99.452,105.15,1
309,101.82,104.24,1
193,104.96,107.49,1
513,118.1,118.09,0
365,94.602,95.0,1
383,94.874,94.339,0
649,148.92,155.97,1
629,142.43,143.02,1
152,108.8,110.47,1
487,109.28,110.35,1
501,114.92,114.89,0
226,114.45,113.63,0
494,114.14,114.8,1
575,140.2,139.57,0
103,124.0,124.16,1
421,105.48,105.45,0
419,103.89,104.5,1
682,158.1,158.16,1
545,138.17,137.73,0
74,120.6,122.22,1
115,122.03,120.81,0
407,107.19,107.1,0
694,152.93,154.83,1
119,122.25,121.69,0
53,119.67,120.89,1
151,114.78,108.8,0
403,106.54,105.75,0
678,160.28,159.08,0
207,114.34,115.54,1
495,114.8,115.11,1
516,118.1,118.19,1
506,114.77,116.04,1
576,139.57,139.05,0
8,103.95,101.12,0
583,142.13,141.99,0
36,122.38,123.93,1
452,115.03,114.68,0
139,119.45,118.81,0
253,98.885,96.949,0
303,102.41,102.53,1
541,135.35,135.41,1
544,137.36,138.17,1
368,92.616,93.404,1
59,120.1,118.24,0
499,114.68,115.41,1
111,121.37,121.12,0
518,118.07,119.95,1
526,127.03,128.23,1
641,149.21,149.14,0
262,93.059,93.184,1
606,151.61,152.03,1
297,97.885,97.935,1
477,110.03,109.47,0
414,105.78,105.32,0
150,110.74,114.78,1
433,111.18,112.23,1
571,141.51,140.0,0
639,148.95,149.89,1
488,110.35,112.15,1
147,109.41,110.13,1
146,113.02,109.41,0
527,128.23,129.44,1
667,159.29,160.89,1
586,145.81,145.37,0
348,92.732,93.909,1
463,109.27,108.09,0
325,103.49,103.71,1
186,104.55,105.74,1
123,119.7,120.81,1
612,153.83,147.87,0
143,117.39,116.78,0
686,151.35,150.01,0
197,105.66,107.23,1
279,90.7,90.98,1
293,98.26,99.73,1
400,103.67,105.23,1
122,118.84,119.7,1
183,110.24,109.96,0
202,109.07,110.72,1
438,111.58,109.85,0
246,104.56,104.01,0
415,105.32,104.7,0
638,148.44,148.95,1
129,114.59,117.65,1
402,106.11,106.54,1
567,143.1,142.36,0
559,139.29,139.01,0
219,108.15,109.92,1
654,158.88,159.86,1
547,137.91,137.4,0
657,156.92,159.28,1
554,139.06,138.36,0
386,96.199,97.222,1
697,155.28,155.34,1
509,117.23,117.86,1
267,96.266,89.941,0
441,110.18,110.63,1
496,115.11,115.21,1
112,121.12,121.78,1
232,110.91,114.6,1
626,144.74,142.61,0
373,89.635,91.145,1
233,114.6,113.88,0
568,142.36,142.0,0
317,105.06,105.18,1
410,106.81,107.08,1
643,150.96,151.6,1
358,96.054,96.442,1
258,96.238,93.762,0
282,94.979,93.177,0
376,93.102,93.384,1
384,94.339,96.199,1
224,114.86,113.35,0
683,158.16,155.51,0
588,144.84,147.24,1
472,105.41,108.25,1
347,91.737,92.732,1
505,114.19,114.77,1
709,155.85,156.85,1
665,159.41,158.7,0
648,147.62,148.92,1
713,168.43,166.29,0
607,152.03,154.29,1
556,139.83,138.23,0
577,139.05,140.79,1
85,118.8,119.55,1
242,104.91,102.09,0
159,107.98,101.4,0
524,126.7,126.5,0
35,125.61,122.38,0
540,135.08,135.35,1
170,104.74,107.67,1
616,144.07,143.22,0
608,154.29,152.78,0
677,160.92,160.28,0
95,124.1,125.41,1
563,142.46,142.27,0
240,106.37,107.19,1
574,139.42,140.2,1
460,111.35,111.17,0
553,138.83,139.06,1
631,141.66,143.11,1
206,109.81,114.34,1
392,94.796,94.144,0
397,103.28,101.75,0
609,152.78,153.3,1
217,111.79,111.41,0
4,105.93,106.04,1
642,149.14,150.96,1
546,137.73,137.91,1
98,123.72,126.01,1
573,140.17,139.42,0
406,105.93,107.19,1
502,114.89,113.99,0
47,116.79,117.47,1
32,122.07,123.07,1
200,107.1,109.08,1
134,122.63,123.72,1
27,118.67,120.19,1
633,143.97,144.44,1
230,112.95,111.95,0
489,112.15,111.51,0
378,92.556,93.034,1
288,93.66,93.808,1
418,103.78,103.89,1
391,96.082,94.796,0
592,151.49,152.8,1
498,114.45,114.68,1
138,119.51,119.45,0
62,119.1,121.02,1
471,104.04,105.41,1
128,116.97,114.59,0
715,167.51,171.88,1
520,120.01,120.02,1
64,119.76,119.37,0
14,106.96,107.06,1
156,112.32,111.68,0
40,122.94,122.16,0
492,113.36,113.99,1
379,93.034,93.433,1
187,105.74,105.04,0
216,112.43,111.79,0
52,121.17,119.67,0
337,90.804,90.296,0
295,98.607,97.797,0
251,101.35,101.44,1
461,111.17,109.17,0
455,114.17,115.2,1
718,174.18,175.61,1
269,90.585,93.715,1
201,109.08,109.07,0
161,98.855,99.452,1
555,138.36,139.83,1
401,105.23,106.11,1
476,109.96,110.03,1
105,123.47,122.77,0
565,142.0,142.04,1
389,97.347,96.831,0
1,100.58,100.59,1
672,163.46,161.5,0
561,139.25,142.14,1
80,122.24,118.94,0
205,110.51,109.81,0
34,126.4,125.61,0
508,117.11,117.23,1
427,105.7,109.44,1
454,114.62,114.17,0
366,95.0,92.839,0
91,123.07,122.89,0
339,90.366,90.979,1
564,142.27,142.0,0
345,91.047,92.09,1
241,107.19,104.91,0
13,106.39,106.96,1
315,106.3,107.41,1
600,152.84,152.65,0
387,97.222,97.261,1
273,92.761,93.506,1
166,108.09,103.26,0
714,166.29,167.51,1
646,149.43,148.39,0
484,108.16,107.38,0
703,159.9,159.19,0
504,114.31,114.19,0
243,102.09,103.33,1
566,142.04,143.1,1
562,142.14,142.46,1
189,105.82,106.2,1
475,108.31,109.96,1
681,159.31,158.1,0
510,117.86,117.37,0
58,117.14,120.1,1
474,108.21,108.31,1
560,139.01,139.25,1
252,101.44,98.885,0
21,112.32,113.17,1
313,106.46,107.56,1
459,112.1,111.35,0
160,101.4,98.855,0
276,91.968,91.948,0
191,106.71,106.2,0
385,96.199,96.199,0
413,106.58,105.78,0
491,113.36,113.36,0
343,88.154,91.427,1
308,102.28,101.82,0
661,157.29,156.94,0
130,117.65,119.92,1
663,156.65,159.21,1
99,126.01,125.75,0
372,90.96,89.635,0
87,121.79,120.54,0
458,113.17,112.1,0
330,101.01,94.678,0
214,116.56,116.07,0
466,108.66,109.31,1
121,120.96,118.84,0
614,144.33,145.5,1
20,112.3,112.32,1
700,155.44,156.43,1
71,119.91,118.55,0
106,122.77,121.97,0
270,93.715,92.839,0
435,110.36,110.52,1
102,124.57,124.0,0
