,t-1,t
0,0.42388,0.42134
1,0.42134,0.42902
2,0.42902,0.41618
3,0.41618,0.43927
4,0.43927,0.44566
5,0.44566,0.45718
6,0.45718,0.44052
7,0.44052,0.43157
8,0.43157,0.43286
9,0.43286,0.42902
10,0.42902,0.42516
11,0.42516,0.41618
12,0.41618,0.41111
13,0.41111,0.41111
14,0.41111,0.40081
15,0.40081,0.39186
16,0.39186,0.39443
17,0.39443,0.40081
18,0.40081,0.40593
19,0.40593,0.39699
20,0.39699,0.39699
21,0.39699,0.39316
22,0.39316,0.38164
23,0.38164,0.37906
24,0.37906,0.36241
25,0.36241,0.38289
26,0.38289,0.38164
27,0.38164,0.39699
28,0.39699,0.40853
29,0.40853,0.40853
30,0.40853,0.40593
31,0.40593,0.41491
32,0.41491,0.41874
33,0.41874,0.40339
34,0.40339,0.39316
35,0.39316,0.39443
36,0.39443,0.39956
37,0.39956,0.39699
38,0.39699,0.39956
39,0.39956,0.39699
40,0.39699,0.39443
41,0.39443,0.41874
42,0.41874,0.41111
43,0.41111,0.39443
44,0.39443,0.37138
45,0.37138,0.38419
46,0.38419,0.37522
47,0.37522,0.37906
48,0.37906,0.37906
49,0.37906,0.37138
50,0.37138,0.34962
51,0.34962,0.36112
52,0.36112,0.36883
53,0.36883,0.37906
54,0.37906,0.38289
55,0.38289,0.39316
56,0.39316,0.41366
57,0.41366,0.40593
58,0.40593,0.39443
59,0.39443,0.38932
60,0.38932,0.39699
61,0.39699,0.41618
62,0.41618,0.43668
63,0.43668,0.4354
64,0.4354,0.42646
65,0.42646,0.42134
66,0.42134,0.40724
67,0.40724,0.41111
68,0.41111,0.42134
69,0.42134,0.43157
70,0.43157,0.45718
71,0.45718,0.43927
72,0.43927,0.43668
73,0.43668,0.43157
74,0.43157,0.43927
75,0.43927,0.44052
76,0.44052,0.44309
77,0.44309,0.45845
78,0.45845,0.46487
79,0.46487,0.44566
80,0.44566,0.45335
81,0.45335,0.45335
82,0.45335,0.45081
83,0.45081,0.44694
84,0.44694,0.45845
85,0.45845,0.47898
86,0.47898,0.47512
87,0.47512,0.48791
88,0.48791,0.47898
89,0.47898,0.48291
90,0.48291,0.44821
91,0.44821,0.45718
92,0.45718,0.46742
93,0.46742,0.48027
94,0.48027,0.47251
95,0.47251,0.46357
96,0.46357,0.47251
97,0.47251,0.48291
98,0.48291,0.47763
99,0.47763,0.47763
100,0.47763,0.46357
101,0.46357,0.45718
102,0.45718,0.46742
103,0.46742,0.46998
104,0.46998,0.47898
105,0.47898,0.47763
106,0.47763,0.47763
107,0.47763,0.48671
108,0.48671,0.47512
109,0.47512,0.45335
110,0.45335,0.44052
111,0.44052,0.44694
112,0.44694,0.44052
113,0.44052,0.42134
114,0.42134,0.42902
115,0.42902,0.44052
116,0.44052,0.4354
117,0.4354,0.42646
118,0.42646,0.40081
119,0.40081,0.39443
120,0.39443,0.39699
121,0.39699,0.40339
122,0.40339,0.41366
123,0.41366,0.39316
124,0.39316,0.35344
125,0.35344,0.34319
126,0.34319,0.35473
127,0.35473,0.36754
