,t-1,t,movement
0,9842506.316399999,0.42134,0
1,7593613.6328799995,0.42902,1
2,18232577.33498,0.41618,0
3,15451015.86018,0.43927,1
4,25399497.174739998,0.44566,1
5,30682785.41888,0.45718,1
6,24575830.68116,0.44052,0
7,11954341.020720001,0.43157,0
8,12792564.27754,0.43286,1
9,7987818.8031,0.42902,0
10,11945109.4756,0.42516,0
11,9367596.62244,0.41618,0
12,19358621.0236,0.41111,0
13,12722845.63606,0.41111,0
14,12144999.69781,0.40081,0
15,26090138.16011,0.39186,0
16,10685265.12648,0.39443,1
17,13007434.04843,0.40081,1
18,13460711.65532,0.40593,1
19,14205758.22498,0.39699,0
20,10802832.72849,0.39699,0
21,5200538.03478,0.39316,0
22,13734302.31392,0.38164,0
23,38832180.27332,0.37906,0
24,19320352.35284,0.36241,0
25,26864247.924340002,0.38289,1
26,25976101.87245,0.38164,0
27,12561812.64744,0.39699,1
28,17342564.52258,0.40853,1
29,28159637.9054,0.40853,0
30,37155719.75135,0.40593,0
31,12991094.69784,0.41491,1
32,21572674.94875,0.41874,1
33,19503858.58134,0.40339,0
34,17793508.6966,0.39316,0
35,12592232.27424,0.39443,1
36,5571097.74161,0.39956,1
37,8311825.723320001,0.39699,0
38,6668690.81967,0.39956,1
39,5241689.39224,0.39699,0
40,3065266.1833200003,0.39443,0
41,11590640.30514,0.41874,1
42,26312943.65994,0.41111,0
43,26547443.04996,0.39443,0
44,9693361.00774,0.37138,0
45,30463970.12904,0.38419,1
46,12134538.571269998,0.37522,0
47,13255276.8696,0.37906,1
48,11030047.84332,0.37906,0
49,11269216.12938,0.37138,0
50,17168029.11356,0.34962,0
51,22716502.16232,0.36112,1
52,26511447.12896,0.36883,1
53,18384203.365989998,0.37906,1
54,14492036.1806,0.38289,1
55,10746838.20699,0.39316,1
56,13970084.29752,0.41366,1
57,47359280.64452,0.40593,0
58,19797281.60298,0.39443,0
59,11957777.72129,0.38932,0
60,10640326.22212,0.39699,1
61,13327459.27128,0.41618,1
62,30514657.61906,0.43668,1
63,38638424.99988,0.4354,0
64,60048007.2612,0.42646,0
65,13259160.40182,0.42134,0
66,14544997.66406,0.40724,0
67,12501319.53804,0.41111,1
68,7663494.93224,0.42134,1
69,11296986.19762,0.43157,1
70,15073391.44375,0.45718,1
71,43422537.165939994,0.43927,0
72,38895033.44389,0.43668,0
73,17030476.332000002,0.43157,0
74,14911626.92379,0.43927,1
75,8273496.26623,0.44052,1
76,8253010.92504,0.44309,1
77,12203999.069149999,0.45845,1
78,21138651.7951,0.46487,1
79,26934912.26867,0.44566,0
80,21787808.45628,0.45335,1
81,21064920.4438,0.45335,0
82,17354913.038149998,0.45081,0
83,21487619.26989,0.44694,0
84,17589754.10322,0.45845,1
85,21316221.85825,0.47898,1
86,37010260.59588,0.47512,0
87,27169672.10856,0.48791,1
88,36798065.83562,0.47898,0
89,35394480.48042,0.48291,1
90,25572815.35605,0.44821,0
91,68439393.67888,0.45718,1
92,44964780.86306,0.46742,1
93,42421232.15428,0.48027,1
94,56902505.825339995,0.47251,0
95,56729897.89485,0.46357,0
96,51332943.691479996,0.47251,1
97,41965183.723239996,0.48291,1
98,55510832.39589,0.47763,0
99,29801652.68313,0.47763,0
100,65594660.26401,0.46357,0
