Date,t-5,t-4,t-3,t-2,t-1,t,movement
2015-01-02,103.5,100.58,100.59,102.01,105.93,106.04,1
2015-01-05,100.58,100.59,102.01,105.93,106.04,103.42,0
2015-01-06,100.59,102.01,105.93,106.04,103.42,104.35,1
2015-01-07,102.01,105.93,106.04,103.42,104.35,103.95,0
2015-01-08,105.93,106.04,103.42,104.35,103.95,101.12,0
2015-01-09,106.04,103.42,104.35,103.95,101.12,100.32,0
2015-01-12,103.42,104.35,103.95,101.12,100.32,102.9,1
2015-01-13,104.35,103.95,101.12,100.32,102.9,103.72,1
2015-01-14,103.95,101.12,100.32,102.9,103.72,106.39,1
2015-01-15,101.12,100.32,102.9,103.72,106.39,106.96,1
2015-01-16,100.32,102.9,103.72,106.39,106.96,107.06,1
2015-01-20,102.9,103.72,106.39,106.96,107.06,103.31,0
2015-01-21,103.72,106.39,106.96,107.06,103.31,109.16,1
2015-01-22,106.39,106.96,107.06,103.31,109.16,112.57,1
2015-01-23,106.96,107.06,103.31,109.16,112.57,110.91,0
2015-01-26,107.06,103.31,109.16,112.57,110.91,112.3,1
2015-01-27,103.31,109.16,112.57,110.91,112.3,112.32,1
2015-01-28,109.16,112.57,110.91,112.3,112.32,113.17,1
2015-01-29,112.57,110.91,112.3,112.32,113.17,113.99,1
2015-01-30,110.91,112.3,112.32,113.17,113.99,113.02,0
2015-02-02,112.3,112.32,113.17,113.99,113.02,113.77,1
2015-02-03,112.32,113.17,113.99,113.02,113.77,115.96,1
2015-02-04,113.17,113.99,113.02,113.77,115.96,118.67,1
2015-02-05,113.99,113.02,113.77,115.96,118.67,120.19,1
2015-02-06,113.02,113.77,115.96,118.67,120.19,120.77,1
2015-02-09,113.77,115.96,118.67,120.19,120.77,121.49,1
2015-02-10,115.96,118.67,120.19,120.77,121.49,122.31,1
2015-02-11,118.67,120.19,120.77,121.49,122.31,122.07,0
2015-02-12,120.19,120.77,121.49,122.31,122.07,123.07,1
2015-02-13,120.77,121.49,122.31,122.07,123.07,126.4,1
2015-02-17,121.49,122.31,122.07,123.07,126.4,125.61,0
2015-02-18,122.31,122.07,123.07,126.4,125.61,122.38,0
2015-02-19,122.07,123.07,126.4,125.61,122.38,123.93,1
2015-02-20,123.07,126.4,125.61,122.38,123.93,122.08,0
2015-02-23,126.4,125.61,122.38,123.93,122.08,122.67,1
2015-02-24,125.61,122.38,123.93,122.08,122.67,122.94,1
2015-02-25,122.38,123.93,122.08,122.67,122.94,122.16,0
2015-02-26,123.93,122.08,122.67,122.94,122.16,120.14,0
2015-02-27,122.08,122.67,122.94,122.16,120.14,120.32,1
2015-03-02,122.67,122.94,122.16,120.14,120.32,120.82,1
2015-03-03,122.94,122.16,120.14,120.32,120.82,118.32,0
2015-03-04,122.16,120.14,120.32,120.82,118.32,116.16,0
2015-03-05,120.14,120.32,120.82,118.32,116.16,116.79,1
2015-03-06,120.32,120.82,118.32,116.16,116.79,117.47,1
2015-03-09,120.82,118.32,116.16,116.79,117.47,118.74,1
2015-03-10,118.32,116.16,116.79,117.47,118.74,120.73,1
2015-03-11,116.16,116.79,117.47,118.74,120.73,122.09,1
2015-03-12,116.79,117.47,118.74,120.73,122.09,121.17,0
2015-03-13,117.47,118.74,120.73,122.09,121.17,119.67,0
2015-03-16,118.74,120.73,122.09,121.17,119.67,120.89,1
2015-03-17,120.73,122.09,121.17,119.67,120.89,120.4,0
2015-03-18,122.09,121.17,119.67,120.89,120.4,117.27,0
2015-03-19,121.17,119.67,120.89,120.4,117.27,118.07,1
2015-03-20,119.67,120.89,120.4,117.27,118.07,117.14,0
2015-03-23,120.89,120.4,117.27,118.07,117.14,120.1,1
2015-03-24,120.4,117.27,118.07,117.14,120.1,118.24,0
2015-03-25,117.27,118.07,117.14,120.1,118.24,118.08,0
2015-03-26,118.07,117.14,120.1,118.24,118.08,119.1,1
2015-03-27,117.14,120.1,118.24,118.08,119.1,121.02,1
2015-03-30,120.1,118.24,118.08,119.1,121.02,119.76,0
2015-03-31,118.24,118.08,119.1,121.02,119.76,119.37,0
2015-04-01,118.08,119.1,121.02,119.76,119.37,120.28,1
2015-04-02,119.1,121.02,119.76,119.37,120.28,120.78,1
2015-04-06,121.02,119.76,119.37,120.28,120.78,120.54,0
2015-04-07,119.76,119.37,120.28,120.78,120.54,120.03,0
2015-04-08,119.37,120.28,120.78,120.54,120.03,120.48,1
2015-04-09,120.28,120.78,120.54,120.03,120.48,119.91,0
2015-04-10,120.78,120.54,120.03,120.48,119.91,118.55,0
2015-04-13,120.54,120.03,120.48,119.91,118.55,121.27,1
2015-04-14,120.03,120.48,119.91,118.55,121.27,120.6,0
2015-04-15,120.48,119.91,118.55,121.27,120.6,122.22,1
2015-04-16,119.91,118.55,121.27,120.6,122.22,123.24,1
2015-04-17,118.55,121.27,120.6,122.22,123.24,123.82,1
2015-04-20,121.27,120.6,122.22,123.24,123.82,126.06,1
2015-04-21,120.6,122.22,123.24,123.82,126.06,124.06,0
2015-04-22,122.22,123.24,123.82,126.06,124.06,122.24,0
2015-04-23,123.24,123.82,126.06,124.06,122.24,118.94,0
2015-04-24,123.82,126.06,124.06,122.24,118.94,122.54,1
2015-04-27,126.06,124.06,122.24,118.94,122.54,122.3,0
2015-04-28,124.06,122.24,118.94,122.54,122.3,119.57,0
2015-04-29,122.24,118.94,122.54,122.3,119.57,118.8,0
2015-04-30,118.94,122.54,122.3,119.57,118.8,119.55,1
2015-05-01,122.54,122.3,119.57,118.8,119.55,121.79,1
2015-05-04,122.3,119.57,118.8,119.55,121.79,120.54,0
2015-05-05,119.57,118.8,119.55,121.79,120.54,120.12,0
2015-05-06,118.8,119.55,121.79,120.54,120.12,120.26,1
2015-05-07,119.55,121.79,120.54,120.12,120.26,123.07,1
2015-05-08,121.79,120.54,120.12,120.26,123.07,122.89,0
2015-05-11,120.54,120.12,120.26,123.07,122.89,124.23,1
2015-05-12,120.12,120.26,123.07,122.89,124.23,124.11,0
2015-05-13,120.26,123.07,122.89,124.23,124.11,124.1,0
2015-05-14,123.07,122.89,124.23,124.11,124.1,125.41,1
2015-05-15,122.89,124.23,124.11,124.1,125.41,126.49,1
2015-05-18,124.23,124.11,124.1,125.41,126.49,123.72,0
2015-05-19,124.11,124.1,125.41,126.49,123.72,126.01,1
2015-05-20,124.1,125.41,126.49,123.72,126.01,125.75,0
2015-05-21,125.41,126.49,123.72,126.01,125.75,124.31,0
2015-05-22,126.49,123.72,126.01,125.75,124.31,124.57,1
2015-05-26,123.72,126.01,125.75,124.31,124.57,124.0,0
2015-05-27,126.01,125.75,124.31,124.57,124.0,124.16,1
2015-05-28,125.75,124.31,124.57,124.0,124.16,123.47,0
2015-05-29,124.31,124.57,124.0,124.16,123.47,122.77,0
2015-06-01,124.57,124.0,124.16,123.47,122.77,121.97,0
2015-06-02,124.0,124.16,123.47,122.77,121.97,121.61,0
2015-06-03,124.16,123.47,122.77,121.97,121.61,123.0,1
2015-06-04,123.47,122.77,121.97,121.61,123.0,122.71,0
2015-06-05,122.77,121.97,121.61,123.0,122.71,121.37,0
2015-06-08,121.97,121.61,123.0,122.71,121.37,121.12,0
2015-06-09,121.61,123.0,122.71,121.37,121.12,121.78,1
2015-06-10,123.0,122.71,121.37,121.12,121.78,121.49,0
2015-06-11,122.71,121.37,121.12,121.78,121.49,122.03,1
2015-06-12,121.37,121.12,121.78,121.49,122.03,120.81,0
2015-06-15,121.12,121.78,121.49,122.03,120.81,121.78,1
2015-06-16,121.78,121.49,122.03,120.81,121.78,121.23,0
2015-06-17,121.49,122.03,120.81,121.78,121.23,122.25,1
2015-06-18,122.03,120.81,121.78,121.23,122.25,121.69,0
2015-06-19,120.81,121.78,121.23,122.25,121.69,120.96,0
2015-06-22,121.78,121.23,122.25,121.69,120.96,118.84,0
2015-06-23,121.23,122.25,121.69,120.96,118.84,119.7,1
2015-06-24,122.25,121.69,120.96,118.84,119.7,120.81,1
2015-06-25,121.69,120.96,118.84,119.7,120.81,120.66,0
2015-06-26,120.96,118.84,119.7,120.81,120.66,120.25,0
2015-06-29,118.84,119.7,120.81,120.66,120.25,119.95,0
2015-06-30,119.7,120.81,120.66,120.25,119.95,116.97,0
2015-07-01,120.81,120.66,120.25,119.95,116.97,114.59,0
2015-07-02,120.66,120.25,119.95,116.97,114.59,117.65,1
2015-07-06,120.25,119.95,116.97,114.59,117.65,119.92,1
2015-07-07,119.95,116.97,114.59,117.65,119.92,119.87,0
2015-07-08,116.97,114.59,117.65,119.92,119.87,121.02,1
2015-07-09,114.59,117.65,119.92,119.87,121.02,122.63,1
2015-07-10,117.65,119.92,119.87,121.02,122.63,123.72,1
2015-07-13,119.92,119.87,121.02,122.63,123.72,126.03,1
2015-07-14,119.87,121.02,122.63,123.72,126.03,124.78,0
2015-07-15,121.02,122.63,123.72,126.03,124.78,119.51,0
2015-07-16,122.63,123.72,126.03,124.78,119.51,119.45,0
2015-07-17,123.72,126.03,124.78,119.51,119.45,118.81,0
2015-07-20,126.03,124.78,119.51,119.45,118.81,117.17,0
2015-07-21,124.78,119.51,119.45,118.81,117.17,117.75,1
2015-07-22,119.51,119.45,118.81,117.17,117.75,117.39,0
2015-07-23,119.45,118.81,117.17,117.75,117.39,116.78,0
2015-07-24,118.81,117.17,117.75,117.39,116.78,115.76,0
2015-07-27,117.17,117.75,117.39,116.78,115.76,113.02,0
2015-07-28,117.75,117.39,116.78,115.76,113.02,109.41,0
2015-07-29,117.39,116.78,115.76,113.02,109.41,110.13,1
2015-07-30,116.78,115.76,113.02,109.41,110.13,110.37,1
2015-07-31,115.76,113.02,109.41,110.13,110.37,110.74,1
2015-08-03,113.02,109.41,110.13,110.37,110.74,114.78,1
2015-08-04,109.41,110.13,110.37,110.74,114.78,108.8,0
2015-08-05,110.13,110.37,110.74,114.78,108.8,110.47,1
2015-08-06,110.37,110.74,114.78,108.8,110.47,110.38,0
2015-08-07,110.74,114.78,108.8,110.47,110.38,111.16,1
2015-08-10,114.78,108.8,110.47,110.38,111.16,112.32,1
2015-08-11,108.8,110.47,110.38,111.16,112.32,111.68,0
2015-08-12,110.47,110.38,111.16,112.32,111.68,110.25,0
2015-08-13,110.38,111.16,112.32,111.68,110.25,107.98,0
2015-08-14,111.16,112.32,111.68,110.25,107.98,101.4,0
2015-08-17,112.32,111.68,110.25,107.98,101.4,98.855,0
2015-08-18,111.68,110.25,107.98,101.4,98.855,99.452,1
2015-08-19,110.25,107.98,101.4,98.855,99.452,105.15,1
2015-08-20,107.98,101.4,98.855,99.452,105.15,108.25,1
2015-08-21,101.4,98.855,99.452,105.15,108.25,108.6,1
2015-08-24,98.855,99.452,105.15,108.25,108.6,108.09,0
2015-08-25,99.452,105.15,108.25,108.6,108.09,103.26,0
2015-08-26,105.15,108.25,108.6,108.09,103.26,107.7,1
2015-08-27,108.25,108.6,108.09,103.26,107.7,105.81,0
2015-08-28,108.6,108.09,103.26,107.7,105.81,104.74,0
2015-08-31,108.09,103.26,107.7,105.81,104.74,107.67,1
2015-09-01,103.26,107.7,105.81,104.74,107.67,105.6,0
2015-09-02,107.7,105.81,104.74,107.67,105.6,107.92,1
2015-09-03,105.81,104.74,107.67,105.6,107.92,109.49,1
2015-09-04,104.74,107.67,105.6,107.92,109.49,110.54,1
2015-09-08,107.67,105.6,107.92,109.49,110.54,111.47,1
2015-09-09,105.6,107.92,109.49,110.54,111.47,111.59,1
2015-09-10,107.92,109.49,110.54,111.47,111.59,109.22,0
2015-09-11,109.49,110.54,111.47,111.59,109.22,108.76,0
2015-09-14,110.54,111.47,111.59,109.22,108.76,110.44,1
2015-09-15,111.47,111.59,109.22,108.76,110.44,108.71,0
2015-09-16,111.59,109.22,108.76,110.44,108.71,109.59,1
2015-09-17,109.22,108.76,110.44,108.71,109.59,110.24,1
2015-09-18,108.76,110.44,108.71,109.59,110.24,109.96,0
2015-09-21,110.44,108.71,109.59,110.24,109.96,107.8,0
2015-09-22,108.71,109.59,110.24,109.96,107.8,104.55,0
2015-09-23,109.59,110.24,109.96,107.8,104.55,105.74,1
2015-09-24,110.24,109.96,107.8,104.55,105.74,105.04,0
2015-09-25,109.96,107.8,104.55,105.74,105.04,105.82,1
2015-09-28,107.8,104.55,105.74,105.04,105.82,106.2,1
2015-09-29,104.55,105.74,105.04,105.82,106.2,106.71,1
2015-09-30,105.74,105.04,105.82,106.2,106.71,106.2,0
2015-10-01,105.04,105.82,106.2,106.71,106.2,104.96,0
2015-10-02,105.82,106.2,106.71,106.2,104.96,107.49,1
2015-10-05,106.2,106.71,106.2,104.96,107.49,106.99,0
2015-10-06,106.71,106.2,104.96,107.49,106.99,107.16,1
2015-10-07,106.2,104.96,107.49,106.99,107.16,105.66,0
2015-10-08,104.96,107.49,106.99,107.16,105.66,107.23,1
2015-10-09,107.49,106.99,107.16,105.66,107.23,106.44,0
2015-10-12,106.99,107.16,105.66,107.23,106.44,107.1,1
2015-10-13,107.16,105.66,107.23,106.44,107.1,109.08,1
