Date,t-5,t-4,t-3,t-2,t-1,t,movement
2015-01-02,103.5,6827386392.22,6987079877.610001,4317524285.2,6639611999.13,106.04,1
2015-01-05,100.58,6987079877.610001,4317524285.2,6639611999.13,6013834219.360001,103.42,0
2015-01-06,100.59,4317524285.2,6639611999.13,6013834219.360001,5421407019.46,104.35,1
2015-01-07,102.01,6639611999.13,6013834219.360001,5421407019.46,7393559177.099999,103.95,0
2015-01-08,105.93,6013834219.360001,5421407019.46,7393559177.099999,5369331740.85,101.12,0
2015-01-09,106.04,5421407019.46,7393559177.099999,5369331740.85,6399239249.92,100.32,0
2015-01-12,103.42,7393559177.099999,5369331740.85,6399239249.92,8319088467.36,102.9,1
2015-01-13,104.35,5369331740.85,6399239249.92,8319088467.36,8951915256.9,103.72,1
2015-01-14,103.95,6399239249.92,8319088467.36,8951915256.9,6015296475.32,106.39,1
2015-01-15,101.12,8319088467.36,8951915256.9,6015296475.32,8599497422.99,106.96,1
2015-01-16,100.32,8951915256.9,6015296475.32,8599497422.99,5701039877.12,107.06,1
2015-01-20,102.9,6015296475.32,8599497422.99,5701039877.12,6283863146.8,103.31,0
2015-01-21,103.72,8599497422.99,5701039877.12,6283863146.8,10383788827.25,109.16,1
2015-01-22,106.39,5701039877.12,6283863146.8,10383788827.25,17005081468.32,112.57,1
2015-01-23,106.96,6283863146.8,10383788827.25,17005081468.32,10034288187.13,110.91,0
2015-01-26,107.06,10383788827.25,17005081468.32,10034288187.13,9807943875.96,112.3,1
2015-01-27,103.31,17005081468.32,10034288187.13,9807943875.96,7432192557.0,112.32,1
2015-01-28,109.16,10034288187.13,9807943875.96,7432192557.0,6157863915.839999,113.17,1
2015-01-29,112.57,9807943875.96,7432192557.0,6157863915.839999,8378070049.63,113.99,1
2015-01-30,110.91,7432192557.0,6157863915.839999,8378070049.63,5065558293.8,113.02,0
2015-02-02,112.3,6157863915.839999,8378070049.63,5065558293.8,5194956953.7,113.77,1
2015-02-03,112.32,8378070049.63,5065558293.8,5194956953.7,4652714142.07,115.96,1
2015-02-04,113.17,5065558293.8,5194956953.7,4652714142.07,7556506845.16,118.67,1
2015-02-05,113.99,5194956953.7,4652714142.07,7556506845.16,9176989745.37,120.19,1
2015-02-06,113.02,4652714142.07,7556506845.16,9176989745.37,9414585582.64,120.77,1
2015-02-09,113.77,7556506845.16,9176989745.37,9414585582.64,6875143957.37,121.49,1
2015-02-10,115.96,9176989745.37,9414585582.64,6875143957.37,8066161987.21,122.31,1
2015-02-11,118.67,9414585582.64,6875143957.37,8066161987.21,5775238961.64,122.07,0
2015-02-12,120.19,6875143957.37,8066161987.21,5775238961.64,4794841851.15,123.07,1
2015-02-13,120.77,8066161987.21,5775238961.64,4794841851.15,6335006343.54,126.4,1
2015-02-17,121.49,5775238961.64,4794841851.15,6335006343.54,9431647576.0,125.61,0
2015-02-18,122.31,4794841851.15,6335006343.54,9431647576.0,9143325995.46,122.38,0
2015-02-19,122.07,6335006343.54,9431647576.0,9143325995.46,9614263361.199999,123.93,1
2015-02-20,123.07,9431647576.0,9143325995.46,9614263361.199999,11899800364.41,122.08,0
2015-02-23,126.4,9143325995.46,9614263361.199999,11899800364.41,7963419402.4,122.67,1
2015-02-24,125.61,9614263361.199999,11899800364.41,7963419402.4,6208183581.39,122.94,1
2015-02-25,122.38,11899800364.41,7963419402.4,6208183581.39,4891960002.42,122.16,0
2015-02-26,123.93,7963419402.4,6208183581.39,4891960002.42,4070409680.4,120.14,0
2015-02-27,122.08,6208183581.39,4891960002.42,4070409680.4,7144622599.74,120.32,1
2015-03-02,122.67,4891960002.42,4070409680.4,7144622599.74,9222135155.199999,120.82,1
2015-03-03,122.94,4070409680.4,7144622599.74,9222135155.199999,11254682391.96,118.32,0
2015-03-04,122.16,7144622599.74,9222135155.199999,11254682391.96,8572646177.5199995,116.16,0
2015-03-05,120.14,9222135155.199999,11254682391.96,8572646177.5199995,8426218753.92,116.79,1
2015-03-06,120.32,11254682391.96,8572646177.5199995,8426218753.92,5945877237.18,117.47,1
2015-03-09,120.82,8572646177.5199995,8426218753.92,5945877237.18,6406141049.309999,118.74,1
2015-03-10,118.32,8426218753.92,5945877237.18,6406141049.309999,4482210700.139999,120.73,1
2015-03-11,116.16,5945877237.18,6406141049.309999,4482210700.139999,6481773247.02,122.09,1
2015-03-12,116.79,6406141049.309999,4482210700.139999,6481773247.02,8385162443.66,121.17,0
2015-03-13,117.47,4482210700.139999,6481773247.02,8385162443.66,5840654394.33,119.67,0
2015-03-16,118.74,6481773247.02,8385162443.66,5840654394.33,8650134732.45,120.89,1
2015-03-17,120.73,8385162443.66,5840654394.33,8650134732.45,4796827433.86,120.4,0
2015-03-18,122.09,5840654394.33,8650134732.45,4796827433.86,4160752016.4,117.27,0
2015-03-19,121.17,8650134732.45,4796827433.86,4160752016.4,6373998122.219999,118.07,1
2015-03-20,119.67,4796827433.86,4160752016.4,6373998122.219999,5910307325.849999,117.14,0
2015-03-23,120.89,4160752016.4,6373998122.219999,5910307325.849999,4874394538.0,120.1,1
2015-03-24,120.4,6373998122.219999,5910307325.849999,4874394538.0,5952124653.9,118.24,0
2015-03-25,117.27,5910307325.849999,4874394538.0,5952124653.9,5236737981.44,118.08,0
2015-03-26,118.07,4874394538.0,5952124653.9,5236737981.44,5047112923.2,119.1,1
2015-03-27,117.14,5952124653.9,5236737981.44,5047112923.2,4037852302.2,121.02,1
2015-03-30,120.1,5236737981.44,5047112923.2,4037852302.2,4736315809.74,119.76,0
2015-03-31,118.24,5047112923.2,4037852302.2,4736315809.74,4409502601.440001,119.37,0
2015-04-01,118.08,4037852302.2,4736315809.74,4409502601.440001,4688734826.85,120.28,1
2015-04-02,119.1,4736315809.74,4409502601.440001,4688734826.85,4105509060.96,120.78,1
2015-04-06,121.02,4409502601.440001,4688734826.85,4105509060.96,5107426637.94,120.54,0
2015-04-07,119.76,4688734826.85,4105509060.96,5107426637.94,4612408495.38,120.03,0
2015-04-08,119.37,4105509060.96,5107426637.94,4612408495.38,3223731411.42,120.48,1
2015-04-09,120.28,5107426637.94,4612408495.38,3223731411.42,3669572490.7200003,119.91,0
2015-04-10,120.78,4612408495.38,3223731411.42,3669572490.7200003,3579405830.7,118.55,0
