,t-1,t,movement
0,15317249.626002248,0.39577499999999993,0
1,17373917.419391245,0.3862344999999999,0
2,17896818.831059746,0.43022649999999996,1
3,20727167.72217025,0.46673349999999997,1
4,36431213.57978792,0.4533365000000001,0
5,32763791.00578458,0.3658034999999999,0
6,24064982.41534282,0.3429469999999999,0
7,13428993.604671147,0.327146,0
8,13158096.6061616,0.2600934999999999,0
9,24961867.917743165,0.2818665,1
10,9943671.448075501,0.2478625,0
11,8017342.541720626,0.242296,0
12,5014012.001964,0.25497000000000003,1
13,7711504.8636375,0.29736399999999996,1
14,16530930.387419399,0.314202,1
15,11190197.071407901,0.3501845,1
16,22486733.37056465,0.37451650000000003,1
17,26840326.87669298,0.39654749999999994,1
18,16576594.148941496,0.42952349999999984,1
19,28837288.523805287,0.475118,1
20,26392372.1150138,0.5767899999999999,1
21,40700438.426406994,0.5727,0
22,27711727.794255,0.5411765000000001,0
23,41195582.054184325,0.5522175,1
24,27014537.447787378,0.5523499999999999,1
25,25599233.343627494,0.5328199999999998,0
26,19169923.545673996,0.5631899999999999,1
27,31787446.894825492,0.664935,1
28,54579325.96141575,0.718375,1
29,60632746.68959375,0.893535,1
30,92227987.03893526,1.059015,1
31,92615404.60664551,1.088835,1
32,90521118.05328901,1.235935,1
33,86472877.477364,1.2381099999999996,1
34,56229828.072190985,1.2933349999999995,1
35,64483208.30347747,1.3835249999999994,1
36,46707923.81326498,1.63736,1
37,69572077.414336,1.7545600000000001,1
38,69800761.88209601,1.3352799999999998,0
39,121743724.57395199,1.1435299999999997,0
40,66034991.56812898,1.242745,1
41,76070680.014763,1.33547,1
42,113418391.1787225,1.32035,0
43,61501881.34626,1.4246450000000002,1
44,81877954.56758526,1.294035,0
45,66725597.38266826,1.2904299999999997,0
46,45609777.02044249,1.398645,1
47,63357713.087159246,1.447595,1
48,44203791.39187475,1.3807049999999998,0
49,43440573.275115,1.2912199999999998,0
50,55059658.086915985,1.321945,1
51,54219598.1022045,1.24762,0
52,55074902.658544995,1.219905,0
53,44557986.4085295,1.319335,1
54,55796155.596801,1.279745,0
55,138306972.1116635,1.154005,0
56,79854428.60672624,1.1215799999999998,0
57,48369641.370542996,1.27544,1
58,76296605.314412,1.479955,1
59,91914884.4057,1.4214400000000003,0
60,70079983.06512001,1.2798950000000002,0
61,67141833.96358976,1.3732800000000003,1
62,58502204.322168015,1.43601,1
63,40194681.2007015,1.5013349999999999,1
64,81362587.58795474,1.441945,0
65,47781886.83457375,1.274135,0
66,101308469.0179965,1.1319750000000002,0
67,56832694.42426876,1.085995,0
68,41170871.8057105,1.1643899999999998,1
69,66066300.04890749,1.3313949999999999,1
70,64139325.10743224,1.29671,0
71,59210967.080219,1.28806,0
72,76129409.621472,1.39262,1
73,75834148.867513,1.327295,0
74,65106154.39554025,1.173925,0
75,36890917.656566255,0.9797399999999998,0
76,38936712.303458996,0.9510549999999999,0
77,59341220.23919949,1.167455,1
78,51801022.98873399,1.354225,1
79,75625480.04661874,1.607965,1
80,157740491.445447,1.8749399999999998,1
81,138976611.38736898,2.126595,1
82,160335548.18239126,2.05495,0
83,195773571.69360748,1.5532899999999998,0
84,164537895.05099398,1.4198499999999998,0
85,80976829.89684248,1.4338199999999997,1
86,76757400.89096098,1.613565,1
87,84720877.041852,1.6415950000000001,1
88,61279590.756064504,1.5994099999999998,0
89,60254384.759413496,1.66147,1
90,88541848.11144349,1.6161400000000001,0
91,53625635.07077,1.8259100000000004,1
92,88198173.26175502,2.054975,1
93,108267970.20838502,2.0856400000000006,1
94,76383537.27641201,1.9547449999999997,0
95,84388614.4320115,1.8667950000000002,0
96,94145384.51689877,1.8859750000000002,1
97,74121884.94403876,1.5405599999999997,0
98,96226205.52896398,1.478025,0
99,63721501.206209995,1.42561,0
100,52054153.866244,1.5056599999999998,1
101,62888310.66832599,1.49874,0
102,66618638.847738005,1.779185,1
103,80941870.62929425,1.8486400000000003,1
104,81521440.31892802,1.9422700000000006,1
105,134317700.30156505,1.8297350000000001,0
106,124125829.24792925,1.7599,0
107,78419261.25898,1.613675,0
108,95107903.41446625,1.7007099999999997,1
109,67120354.45077048,1.64929,0
110,149874043.712098,1.2207149999999998,0
111,111577781.58509248,0.8849,0
112,61045323.06163501,0.86029,0
113,40002968.653942,0.7719249999999999,0
114,36630999.19517499,0.94192,1
115,76533743.012328,1.03039,1
116,39766069.089228995,0.94261,0
117,58919405.987473994,1.03286,1
118,94427155.39034499,1.15936,1
119,75589966.2188,1.14246,0
120,72699396.86334601,1.00205,0
121,58201460.653087504,0.9851699999999999,0
122,44487554.68270499,0.8572449999999998,0
123,53007971.57347599,0.90044,1
124,53792873.632341996,1.0897650000000003,1
125,63624462.86477476,1.1362150000000002,1
126,59819611.10539226,1.1965100000000002,1
127,109205587.88942952,1.3398949999999998,1
128,80007285.40312849,1.1921900000000003,0
129,68337571.631352,1.31317,1
130,107222877.72150749,1.342565,1
131,119221298.16076376,1.268225,0
132,104361726.12107374,1.156455,0
133,101012868.69796576,1.2396099999999997,1
134,94867983.45574346,1.3824900000000002,1
135,100384623.21098252,1.4899149999999999,1
136,110067340.55542049,1.470185,0
137,116853544.89634176,1.4034849999999999,0
138,87777573.24217124,1.2552850000000002,0
139,135041635.0693955,1.13733,0
140,92247429.5933895,1.254225,1
141,82014107.0009625,1.150585,0
142,103177915.91382074,1.0439599999999998,0
143,135684936.95002198,0.9155899999999999,0
144,70035819.4853785,0.8360399999999999,0
145,31991545.303511992,0.8024100000000001,0
146,35471819.9521455,0.835205,1
147,38741962.15885625,0.7924749999999998,0
148,47214750.73869999,0.6335999999999999,0
149,41551401.8304,0.69537,1
150,28858138.71096,0.74027,1
151,34150886.051699005,0.7369699999999999,0
152,36899409.703357495,0.7988349999999999,1
153,56539674.542430244,0.8003949999999997,1
154,28438544.60181249,0.7051499999999999,0
155,70782786.45947249,0.5418794999999998,0
156,47793952.02074579,0.5287554999999999,0
157,26137712.73100487,0.5468149999999998,1
158,42111655.449870236,0.5829599999999999,1
159,20462479.484663997,0.546315,0
160,16454395.817937,0.5064335000000001,0
161,17871392.765504252,0.49021349999999997,0
162,41999727.4211865,0.73316,1
163,183179460.477034,0.70807,0
164,32212456.154505,0.686185,0
165,50599269.48005151,0.5739799999999999,0
166,53931459.09740599,0.5090510000000001,0
167,26594128.148683958,0.520625,1
168,77795018.4466875,0.60807,1
169,45827656.9231125,0.76564,1
170,120457456.87096798,0.8590450000000001,1
171,89377608.970078,0.9243000000000002,1
172,99826838.44204503,0.886675,0
173,55234073.7730225,0.93739,1
174,73102174.7185175,1.13582,1
175,151422477.25793302,1.234135,1
176,238305809.18883723,1.184895,0
177,115259193.3955635,1.1626600000000002,0
178,190618067.29516104,1.13926,0
179,179949207.29971302,1.1404,1
180,176445782.19030002,1.3438350000000003,1
181,288693428.85306233,1.1957149999999999,0
182,150200561.898634,1.0885250000000002,0
183,126873953.46452752,1.1911200000000002,1
184,233353424.02335605,1.4378250000000001,1
185,213176723.53561878,1.480725,1
186,127209600.1903725,1.6215099999999996,1
187,249336882.75141242,1.81003,1
188,202009736.57668352,2.2638999999999996,1
189,353880615.355935,2.1191249999999995,0
190,582897138.1507311,2.6231649999999993,1
191,381294382.1009934,3.216355,1
192,434223678.70679003,3.1871100000000006,0
193,408374169.2863291,3.4481949999999992,1
194,475612398.0070304,3.8077799999999997,1
195,385927097.730627,4.17528,1
196,440354213.172144,3.7821650000000004,0
197,456170990.4486483,3.0152050000000004,0
198,443255957.70420957,3.22016,1
199,263484496.740832,3.40318,1
200,272422630.588053,3.3155349999999997,0
201,231002111.27551746,3.570125,1
202,722687150.5534687,1.3245900000000002,0
203,376437679.21379554,1.2717000000000003,0
204,149710246.14132002,0.9828749999999999,0
205,125662558.87529999,1.11104,1
206,189147502.28505602,1.2821850000000004,1
207,155941492.1680688,1.28772,1
208,161352295.31106,1.4107800000000001,1
209,227802053.35154405,1.56545,1
210,154186498.9004375,1.3502250000000002,0
211,141009358.69600877,1.4813800000000001,1
212,168213643.020543,1.223765,0
213,100022836.42425175,1.147265,0
214,87804623.30987024,1.0402399999999998,0
215,98950673.16638398,1.1962899999999999,1
216,102140617.54849148,1.3492799999999998,1
217,98576812.273032,1.395045,1
218,120274414.17016052,1.509085,1
219,157347444.259895,1.5143800000000003,1
220,144970259.14239404,1.5591300000000001,1
221,116437031.9704035,1.5440200000000002,0
222,125375340.76187502,1.5122250000000002,0
223,126437333.60275877,1.1538600000000003,0
224,126817417.65613504,0.9909650000000001,0
225,107817520.72937576,0.9715050000000002,0
226,65808980.33669551,0.9306600000000002,0
227,66933212.801757015,0.94095,1
228,76385933.79907499,1.022185,1
229,64592907.41222874,0.9433150000000001,0
230,56951866.305097505,0.9271849999999999,0
231,71086161.88431099,0.9355699999999999,1
232,60890792.6700565,0.93781,1
233,49974158.263442,0.8882150000000001,0
234,82266330.119742,1.0952699999999997,1
235,168592881.67421696,1.1521350000000004,1
236,94355877.88981128,1.263265,1
237,94769339.01101051,1.3040799999999997,1
238,69853366.78612798,1.416975,1
239,90902215.42387125,1.4307849999999998,1
240,123480617.27574922,1.463885,1
241,116951804.74196276,1.34261,0
242,86567078.29832001,1.3565049999999998,1
243,124933756.99479699,1.456725,1
244,135692556.85353,1.538505,1
245,178306484.63127977,1.7166749999999997,1
246,189990681.07538247,1.74615,1
247,207370886.1499275,1.761885,1
248,132072204.099654,2.0429849999999994,1
249,247264746.2471707,2.0028750000000004,0
250,242200828.2236813,2.03504,1
251,211026251.341864,2.3424749999999994,1
252,236875260.34529993,2.7719250000000004,1
253,574853616.9794438,3.558065,1
254,785372538.1833415,4.155735,1
255,987177035.4841357,4.282705000000001,1
256,1393339758.8852055,5.131585,1
257,1555181799.9398313,5.43039,1
258,1242074296.2727153,5.210535,0
259,1246207978.3493094,4.62149,0
260,862590888.074865,4.903705,1
261,771140820.3661863,4.87472,0
262,730505775.8664399,5.559705,1
263,589890220.4531093,6.045410000000001,1
264,847781600.9626286,6.679709999999998,1
265,1099458415.6666331,7.1653400000000005,1
266,1902899390.016443,8.478485000000001,1
267,1485727978.177209,9.39434,1
268,1541431879.53525,9.933965,1
269,3033567841.025112,8.794010000000002,0
270,2435095394.7834926,8.090625000000001,0
271,2362787474.5162506,8.654605,1
272,2510571325.5320654,8.50308,0
