,t-5,t-4,t-3,t-2,t-1,t
0,15222055.0258624,17471180.4041268,13131393.6735632,15465719.0580288,17761559.1762432,0.386492
1,17471180.4041268,13131393.6735632,15465719.0580288,17761559.1762432,22223177.6854248,0.4103
2,13131393.6735632,15465719.0580288,17761559.1762432,22223177.6854248,21797937.44634,0.39674
3,15465719.0580288,17761559.1762432,22223177.6854248,21797937.44634,7686593.5049,0.40313999999999994
4,17761559.1762432,22223177.6854248,21797937.44634,7686593.5049,15246440.431427998,0.37778199999999995
5,22223177.6854248,21797937.44634,7686593.5049,15246440.431427998,15698225.991022399,0.366002
6,21797937.44634,7686593.5049,15246440.431427998,15698225.991022399,19961249.0480676,0.398014
7,7686593.5049,15246440.431427998,15698225.991022399,19961249.0480676,20471907.722427197,0.414914
8,15246440.431427998,15698225.991022399,19961249.0480676,20471907.722427197,29925211.6124772,0.417498
9,15698225.991022399,19961249.0480676,20471907.722427197,29925211.6124772,11837130.7489104,0.43925400000000003
10,19961249.0480676,20471907.722427197,29925211.6124772,11837130.7489104,25652663.0662896,0.44924
11,20471907.722427197,29925211.6124772,11837130.7489104,25652663.0662896,15198866.02828,0.450022
12,29925211.6124772,11837130.7489104,25652663.0662896,15198866.02828,19859993.5155508,0.47588800000000003
13,11837130.7489104,25652663.0662896,15198866.02828,19859993.5155508,31433864.803824004,0.46719799999999995
14,25652663.0662896,15198866.02828,19859993.5155508,31433864.803824004,47956886.6696696,0.473826
15,15198866.02828,19859993.5155508,31433864.803824004,47956886.6696696,47093902.8407556,0.46715599999999996
16,19859993.5155508,31433864.803824004,47956886.6696696,47093902.8407556,34250505.882828,0.479214
17,31433864.803824004,47956886.6696696,47093902.8407556,34250505.882828,30615360.608138397,0.440534
18,47956886.6696696,47093902.8407556,34250505.882828,30615360.608138397,36790481.582784,0.42644200000000004
19,47093902.8407556,34250505.882828,30615360.608138397,36790481.582784,29157203.9838232,0.400326
20,34250505.882828,30615360.608138397,36790481.582784,29157203.9838232,23310722.7681,0.353184
21,30615360.608138397,36790481.582784,29157203.9838232,23310722.7681,38691588.334464,0.35574399999999995
22,36790481.582784,29157203.9838232,23310722.7681,38691588.334464,22306816.9547648,0.35396
23,29157203.9838232,23310722.7681,38691588.334464,22306816.9547648,11560941.207736,0.343712
24,23310722.7681,38691588.334464,22306816.9547648,11560941.207736,15354784.691936001,0.327076
25,38691588.334464,22306816.9547648,11560941.207736,15354784.691936001,18208107.1431264,0.34909
26,22306816.9547648,11560941.207736,15354784.691936001,18208107.1431264,10235608.19561,0.35191
27,11560941.207736,15354784.691936001,18208107.1431264,10235608.19561,9489944.090094,0.33322199999999996
28,15354784.691936001,18208107.1431264,10235608.19561,9489944.090094,12336579.072577199,0.318642
29,18208107.1431264,10235608.19561,9489944.090094,12336579.072577199,10545139.94121,0.324014
30,10235608.19561,9489944.090094,12336579.072577199,10545139.94121,12759578.2631792,0.332706
31,9489944.090094,12336579.072577199,10545139.94121,12759578.2631792,17096982.142548,0.27788599999999997
32,12336579.072577199,10545139.94121,12759578.2631792,17096982.142548,31484894.9045484,0.26661999999999997
33,10545139.94121,12759578.2631792,17096982.142548,31484894.9045484,29902643.828068,0.24793200000000004
34,12759578.2631792,17096982.142548,31484894.9045484,29902643.828068,25030582.195881605,0.247936
35,17096982.142548,31484894.9045484,29902643.828068,25030582.195881605,14250670.6790656,0.285076
36,31484894.9045484,29902643.828068,25030582.195881605,14250670.6790656,15265923.7387096,0.280976
37,29902643.828068,25030582.195881605,14250670.6790656,15265923.7387096,5931346.602848,0.28505800000000003
38,25030582.195881605,14250670.6790656,15265923.7387096,5931346.602848,7052488.509250401,0.276356
39,14250670.6790656,15265923.7387096,5931346.602848,7052488.509250401,11527109.0484296,0.26175800000000005
40,15265923.7387096,5931346.602848,7052488.509250401,11527109.0484296,12567143.034023201,0.252792
41,5931346.602848,7052488.509250401,11527109.0484296,12567143.034023201,5799089.2806288,0.241014
42,7052488.509250401,11527109.0484296,12567143.034023201,5799089.2806288,6432868.2326832,0.23588599999999998
43,11527109.0484296,12567143.034023201,5799089.2806288,6432868.2326832,7487531.3424688,0.24024399999999999
44,12567143.034023201,5799089.2806288,6432868.2326832,7487531.3424688,4649177.142868,0.239738
45,5799089.2806288,6432868.2326832,7487531.3424688,4649177.142868,2945854.3704612004,0.24050000000000002
46,6432868.2326832,7487531.3424688,4649177.142868,2945854.3704612004,5731351.2191,0.24870200000000003
47,7487531.3424688,4649177.142868,2945854.3704612004,5731351.2191,6790633.8693788005,0.26611599999999996
48,4649177.142868,2945854.3704612004,5731351.2191,6790633.8693788005,9623092.367650399,0.25304200000000004
49,2945854.3704612004,5731351.2191,6790633.8693788005,9623092.367650399,4091293.230486801,0.24358
50,5731351.2191,6790633.8693788005,9623092.367650399,4091293.230486801,4332106.885716,0.257142
51,6790633.8693788005,9623092.367650399,4091293.230486801,4332106.885716,13079311.83072,0.28506400000000004
52,9623092.367650399,4091293.230486801,4332106.885716,13079311.83072,22426546.912182402,0.288652
53,4091293.230486801,4332106.885716,13079311.83072,22426546.912182402,10861774.9550856,0.29865
54,4332106.885716,13079311.83072,22426546.912182402,10861774.9550856,12284629.02117,0.31709000000000004
55,13079311.83072,22426546.912182402,10861774.9550856,12284629.02117,20589008.270038005,0.314522
56,22426546.912182402,10861774.9550856,12284629.02117,20589008.270038005,8447515.3501388,0.30503600000000003
57,10861774.9550856,12284629.02117,20589008.270038005,8447515.3501388,10079617.087885601,0.32271799999999995
58,12284629.02117,20589008.270038005,8447515.3501388,10079617.087885601,12800473.218460398,0.314532
59,20589008.270038005,8447515.3501388,10079617.087885601,12800473.218460398,13490833.572576,0.331434
60,8447515.3501388,10079617.087885601,12800473.218460398,13490833.572576,24664167.143431198,0.35216200000000003
61,10079617.087885601,12800473.218460398,13490833.572576,24664167.143431198,14335747.870299201,0.35498999999999997
62,12800473.218460398,13490833.572576,24664167.143431198,14335747.870299201,13412581.632155998,0.36215200000000003
63,13490833.572576,24664167.143431198,14335747.870299201,13412581.632155998,37645159.344912,0.379062
64,24664167.143431198,14335747.870299201,13412581.632155998,37645159.344912,37882675.1848428,0.373426
65,14335747.870299201,13412581.632155998,37645159.344912,37882675.1848428,14387685.3188244,0.36421000000000003
66,13412581.632155998,37645159.344912,37882675.1848428,14387685.3188244,32219286.96448,0.381368
67,37645159.344912,37882675.1848428,14387685.3188244,32219286.96448,22781445.2986224,0.381374
68,37882675.1848428,14387685.3188244,32219286.96448,22781445.2986224,13725687.558377199,0.39930199999999993
69,14387685.3188244,32219286.96448,22781445.2986224,13725687.558377199,24095711.642880794,0.40750000000000003
70,32219286.96448,22781445.2986224,13725687.558377199,24095711.642880794,16627130.3235,0.398014
71,22781445.2986224,13725687.558377199,24095711.642880794,16627130.3235,11968963.0167904,0.40338799999999997
