,t-1,t,movement
259,93.762,95.814,1
658,159.28,161.02,1
77,123.82,126.06,1
65,119.37,120.28,1
81,118.94,122.54,1
223,114.36,114.86,1
335,92.132,91.174,0
264,92.712,97.641,1
515,117.89,118.1,1
346,92.09,91.737,0
394,100.26,101.61,1
215,116.07,112.43,0
451,115.11,115.03,0
63,121.02,119.76,0
360,96.354,97.046,1
33,123.07,126.4,1
687,150.01,152.59,1
131,119.92,119.87,0
334,90.641,92.132,1
637,147.93,148.44,1
210,116.16,117.51,1
530,130.89,130.6,0
118,121.23,122.25,1
120,121.69,120.96,0
198,107.23,106.44,0
86,119.55,121.79,1
10,100.32,102.9,1
164,108.25,108.6,1
534,133.94,133.78,0
39,122.67,122.94,1
72,118.55,121.27,1
719,175.61,175.25,0
640,149.89,149.21,0
512,117.16,118.1,1
523,119.43,126.7,1
318,105.18,105.53,1
497,115.21,114.45,0
473,108.25,108.21,0
624,144.73,142.66,0
78,126.06,124.06,0
231,111.95,110.91,0
701,156.43,159.31,1
570,141.68,141.51,0
598,151.4,151.91,1
54,120.89,120.4,0
213,116.42,116.56,1
467,109.31,109.13,0
422,105.45,106.1,1
174,109.49,110.54,1
344,91.427,91.047,0
352,97.787,97.729,0
328,102.29,101.71,0
615,145.5,144.07,0
442,110.63,110.68,1
97,126.49,123.72,0
294,99.73,98.607,0
49,118.74,120.73,1
679,159.08,157.71,0
430,112.53,111.21,0
601,152.65,152.19,0
133,121.02,122.63,1
306,103.3,102.73,0
542,135.41,138.18,1
260,95.814,93.512,0
411,107.08,106.25,0
23,113.99,113.02,0
693,153.92,152.93,0
708,156.54,155.85,0
158,110.25,107.98,0
666,158.7,159.29,1
371,93.589,90.96,0
239,108.29,106.37,0
717,173.63,174.18,1
362,96.258,94.796,0
597,149.12,151.4,1
669,162.33,162.76,1
698,155.34,155.99,1
707,155.61,156.54,1
655,159.86,154.76,0
211,117.51,116.95,0
300,99.233,101.24,1
296,97.797,97.885,1
431,111.21,111.2,0
340,90.979,90.093,0
84,119.57,118.8,0
79,124.06,122.24,0
208,115.54,114.56,0
404,105.75,105.68,0
244,103.33,103.23,0
101,124.31,124.57,1
31,122.31,122.07,0
390,96.831,96.082,0
235,113.83,111.31,0
181,108.71,109.59,1
589,147.24,151.24,1
432,111.2,111.18,0
248,102.83,104.68,1
55,120.4,117.27,0
281,93.545,94.979,1
628,142.95,142.43,0
533,133.45,133.94,1
109,123.0,122.71,0
76,123.24,123.82,1
2,100.59,102.01,1
399,103.02,103.67,1
165,108.6,108.09,0
395,101.61,101.49,0
572,140.0,140.17,1
716,171.88,173.63,1
702,159.31,159.9,1
356,95.167,95.361,1
227,113.63,113.41,0
350,95.342,96.998,1
393,94.144,100.26,1
483,107.76,108.16,1
668,160.89,162.33,1
250,103.32,101.35,0
507,116.04,117.11,1
220,109.92,109.46,0
148,110.13,110.37,1
90,120.26,123.07,1
155,111.16,112.32,1
332,91.792,90.739,0
327,102.57,102.29,0
60,118.24,118.08,0
551,137.6,137.39,0
30,121.49,122.31,1
594,154.93,154.53,0
69,120.03,120.48,1
199,106.44,107.1,1
44,120.82,118.32,0
70,120.48,119.91,0
398,101.75,103.02,1
593,152.8,154.93,1
557,138.23,139.79,1
135,123.72,126.03,1
453,114.68,114.62,0
234,113.88,113.83,0
326,103.71,102.57,0
528,129.44,129.95,1
426,103.24,105.7,1
136,126.03,124.78,0
265,97.641,95.736,0
6,103.42,104.35,1
469,106.08,106.72,1
450,115.18,115.11,0
357,95.361,96.054,1
380,93.433,94.154,1
145,115.76,113.02,0
212,116.95,116.42,0
132,119.87,121.02,1
302,102.57,102.41,0
353,97.729,97.251,0
41,122.16,120.14,0
108,121.61,123.0,1
311,106.05,105.5,0
56,117.27,118.07,1
674,161.33,160.68,0
196,107.16,105.66,0
329,101.71,101.01,0
532,131.75,133.45,1
24,113.02,113.77,1
623,145.19,144.73,0
257,94.86,96.238,1
548,137.4,137.08,0
355,95.886,95.167,0
284,92.965,93.778,1
110,122.71,121.37,0
82,122.54,122.3,0
51,122.09,121.17,0
388,97.261,97.347,1
580,141.98,142.87,1
617,143.22,141.2,0
286,91.659,93.022,1
578,140.79,140.63,0
599,151.91,152.84,1
266,95.736,96.266,1
292,97.522,98.26,1
18,112.57,110.91,0
558,139.79,139.29,0
579,140.63,141.98,1
711,162.47,166.12,1
254,96.949,92.857,0
61,118.08,119.1,1
192,106.2,104.96,0
412,106.25,106.58,1
29,120.77,121.49,1
275,91.009,91.968,1
204,114.16,110.51,0
333,90.739,90.641,0
361,97.046,96.258,0
182,109.59,110.24,1
688,152.59,153.68,1
446,113.63,113.88,1
519,119.95,120.01,1
342,87.979,88.154,1
375,91.934,93.102,1
424,103.32,100.98,0
323,106.34,104.04,0
622,144.54,145.19,1
396,101.49,103.28,1
176,111.47,111.59,1
290,93.594,97.309,1
660,160.37,157.29,0
525,126.5,127.03,1
680,157.71,159.31,1
137,124.78,119.51,0
209,114.56,116.16,1
675,160.68,158.06,0
163,105.15,108.25,1
381,94.154,94.445,1
632,143.11,143.97,1
684,155.51,152.84,0
618,141.2,145.25,1
620,143.92,144.78,1
324,104.04,103.49,0
443,110.68,111.52,1
