,t-1,t,movement
259,5966364753.198,95.814,1
658,3528766530.08,161.02,1
77,5801167093.12,126.06,1
65,4688734826.85,120.28,1
81,10412117143.74,122.54,1
223,5142865491.12,114.86,1
335,5328316390.528,91.174,0
264,4482050200.176001,97.641,1
515,2856051239.12,118.1,1
346,3888485055.15,91.737,0
394,9252020371.5,101.61,1
215,4083550945.65,112.43,0
451,2586943347.93,115.03,0
63,4736315809.74,119.76,0
360,1891881016.614,97.046,1
33,6335006343.54,126.4,1
687,6679693283.2,152.59,1
131,5207366146.64,119.87,0
334,4434949559.776,92.132,1
637,2998368169.83,148.44,1
210,3901267518.72,117.51,1
530,3182707627.44,130.6,0
118,3845100765.69,122.25,1
120,4072541183.87,120.96,0
198,4213967968.15,106.44,0
86,5457789729.45,121.79,1
10,8319088467.36,102.9,1
164,9554776205.75,108.6,1
534,4557380157.9,133.78,0
39,6208183581.39,122.94,1
72,6481229741.7,121.27,1
719,4293869261.26,175.25,0
640,3157920142.39,149.21,0
512,3023247370.28,118.1,1
523,4843124285.13,126.7,1
318,2502313714.5,105.53,1
497,2533352113.95,114.45,0
473,6394900467.25,108.21,0
624,3744555871.0,142.66,0
78,12860437108.86,124.06,0
231,3880188455.35,110.91,0
701,2570561942.38,159.31,1
570,2389741212.32,141.51,0
598,5120527106.2,151.91,1
54,4796827433.86,120.4,0
213,4782860158.1,116.56,1
467,2551361751.17,109.13,0
422,2503451858.85,106.1,1
174,5700975137.95,110.54,1
344,5606448734.649,91.047,0
352,5476764820.895,97.729,0
328,3457528839.6000004,101.71,0
615,4998432358.5,144.07,0
442,3310854986.4,110.68,1
97,6043429986.23,123.72,0
294,4509776338.610001,98.607,0
49,4482210700.139999,120.73,1
679,7163262316.64,157.71,0
430,8098180038.96,111.21,0
601,3062004670.85,152.19,0
133,4264662143.34,122.63,1
306,3462378719.9,102.73,0
542,2897358155.89,138.18,1
260,6136651572.443999,93.512,0
411,2683185904.52,106.25,0
23,5065558293.8,113.02,0
693,2505430645.12,152.93,0
708,2771030379.6,155.85,0
158,5553214332.75,107.98,0
666,3154082515.2,159.29,1
371,2936750288.525,90.96,0
239,7309261175.580001,106.37,0
717,6059902474.83,174.18,1
362,2569378600.992,94.796,0
597,7614330844.16,151.4,1
669,4799082401.190001,162.76,1
698,2432603584.44,155.99,1
707,3429499215.8700004,156.54,1
655,4198067633.86,154.76,0
211,5579656118.940001,116.95,0
300,2570693580.256,101.24,1
296,3074117647.02,97.885,1
431,5267989675.08,111.2,0
340,3047123528.337,90.093,0
84,6199104139.03,118.8,0
79,15524333701.4,122.24,0
208,6174104047.6,114.56,0
404,2407705107.75,105.68,0
244,5107786034.059999,103.23,0
101,6628148536.72,124.57,1
31,5775238961.64,122.07,0
390,2997195999.336,96.082,0
235,4056531821.65,111.31,0
181,5709202537.009999,109.59,1
589,4070790366.12,151.24,1
432,3853807248.0,111.18,0
248,2852230569.37,104.68,1
55,4160752016.4,117.27,0
281,4394647842.195,94.979,1
628,3313220623.05,142.43,0
533,4193392677.5,133.94,1
109,5036646435.0,122.71,0
76,5935440020.639999,123.82,1
2,6987079877.610001,102.01,1
399,2895599314.14,103.67,1
165,6022694817.0,108.09,0
395,3876145832.07,101.49,0
572,4302851420.0,140.17,1
716,10246138232.68,173.63,1
702,3852564098.34,159.9,1
356,3775448474.608,95.361,1
227,2524377831.47,113.41,0
350,2902089491.002,96.998,1
