,t-1,t-2,t-3,t-4,t-5,t,movement
120,120.81,119.7,118.84,120.96,121.69,120.66,0
331,92.132,90.641,90.739,91.792,94.678,91.174,0
39,120.32,120.14,122.16,122.94,122.67,120.82,1
636,149.89,148.95,148.44,147.93,146.66,149.21,0
514,118.07,118.19,118.1,117.89,118.09,119.95,1
532,134.15,133.78,133.94,133.45,131.75,135.12,1
65,120.03,120.54,120.78,120.28,119.37,120.48,1
500,114.31,113.99,114.89,114.92,115.41,114.19,0
78,122.54,118.94,122.24,124.06,126.06,122.3,0
654,159.28,156.92,154.76,159.86,158.88,161.02,1
487,113.36,111.51,112.15,110.35,109.28,113.36,0
97,124.31,125.75,126.01,123.72,126.49,124.57,1
697,156.43,155.44,155.99,155.34,155.28,159.31,1
84,120.54,121.79,119.55,118.8,119.57,120.12,0
208,116.95,117.51,116.16,114.56,115.54,116.42,0
422,103.24,100.98,103.32,106.1,105.45,105.7,1
239,102.09,104.91,107.19,106.37,108.29,103.33,1
265,90.585,89.941,96.266,95.736,97.641,93.715,1
713,173.63,171.88,167.51,166.29,168.43,174.18,1
558,142.14,139.25,139.01,139.29,139.79,142.46,1
54,117.14,118.07,117.27,120.4,120.89,120.1,1
209,116.42,116.95,117.51,116.16,114.56,116.56,1
683,150.01,151.35,152.84,155.51,158.16,152.59,1
589,152.8,151.49,152.21,151.24,147.24,154.93,1
181,107.8,109.96,110.24,109.59,108.71,104.55,0
131,123.72,122.63,121.02,119.87,119.92,126.03,1
227,111.95,112.95,113.9,113.41,113.63,110.91,0
72,123.24,122.22,120.6,121.27,118.55,123.82,1
86,120.26,120.12,120.54,121.79,119.55,123.07,1
377,94.154,93.433,93.034,92.556,93.384,94.445,1
350,97.251,97.729,97.787,96.998,95.342,95.886,0
118,118.84,120.96,121.69,122.25,121.23,119.7,1
363,92.839,95.0,94.602,94.914,94.796,92.616,0
469,108.25,105.41,104.04,106.72,106.08,108.21,0
81,118.8,119.57,122.3,122.54,118.94,119.55,1
367,93.589,93.063,93.404,92.616,92.839,90.96,0
77,118.94,122.24,124.06,126.06,123.82,122.54,1
512,118.1,117.89,118.09,118.1,117.16,118.19,1
136,118.81,119.45,119.51,124.78,126.03,117.17,0
571,140.2,139.42,140.17,140.0,141.51,139.57,0
133,124.78,126.03,123.72,122.63,121.02,119.51,0
567,141.51,141.68,142.0,142.36,143.1,140.0,0
611,145.5,144.33,147.87,153.83,154.21,144.07,0
254,96.238,94.86,93.349,92.857,96.949,93.762,0
211,116.07,116.56,116.42,116.95,117.51,112.43,0
49,119.67,121.17,122.09,120.73,118.74,120.89,1
335,90.366,90.296,90.804,91.174,92.132,90.979,1
511,117.89,118.09,118.1,117.16,117.37,118.1,1
212,112.43,116.07,116.56,116.42,116.95,111.79,0
444,114.9,113.88,113.63,111.69,111.52,114.54,0
109,121.78,121.12,121.37,122.71,123.0,121.49,0
158,99.452,98.855,101.4,107.98,110.25,105.15,1
578,142.02,142.87,141.98,140.63,140.79,142.13,1
318,108.5,108.44,106.91,105.53,105.18,106.34,0
703,155.61,155.69,155.42,159.19,159.9,156.54,1
594,151.4,149.12,154.31,154.53,154.93,151.91,1
63,120.78,120.28,119.37,119.76,121.02,120.54,0
210,116.56,116.42,116.95,117.51,116.16,116.07,0
652,154.76,159.86,158.88,157.62,155.22,156.92,1
453,115.78,115.2,114.17,114.62,114.68,113.17,0
10,106.96,106.39,103.72,102.9,100.32,107.06,1
360,94.914,94.796,96.258,97.046,96.354,94.602,0
355,96.442,96.054,95.361,95.167,95.886,96.354,0
676,157.71,159.08,160.28,160.92,158.06,159.31,1
182,104.55,107.8,109.96,110.24,109.59,105.74,1
525,129.95,129.44,128.23,127.03,126.5,130.89,1
409,106.58,106.25,107.08,106.81,106.93,105.78,0
286,93.594,93.808,93.66,93.022,91.659,97.309,1
593,149.12,154.31,154.53,154.93,152.8,151.4,1
665,162.33,160.89,159.29,158.7,159.41,162.76,1
428,111.2,111.21,112.53,113.15,109.44,111.18,0
664,160.89,159.29,158.7,159.41,159.21,162.33,1
506,117.86,117.23,117.11,116.04,114.77,117.37,0
405,106.93,107.1,107.19,105.93,105.68,106.81,0
101,123.47,124.16,124.0,124.57,124.31,122.77,0
294,97.935,97.885,97.797,98.607,99.73,98.984,1
192,107.16,106.99,107.49,104.96,106.2,105.66,0
620,144.73,145.19,144.54,144.78,143.92,142.66,0
380,94.339,94.874,94.445,94.154,93.433,96.199,1
641,152.31,151.6,150.96,149.14,149.21,149.43,0
