t-1,t-2,t-3,t-4,t-5,t,movement
2530072399.63,2380919165.95,3221970351.81,3542595012.79,114.89,116.04,1
3645920404.56,2530072399.63,2380919165.95,3221970351.81,113.99,117.11,1
3764571801.55,3645920404.56,2530072399.63,2380919165.95,114.31,117.23,1
2523504234.08,3764571801.55,3645920404.56,2530072399.63,114.19,117.86,1
3167106340.76,2523504234.08,3764571801.55,3645920404.56,114.77,117.37,0
3180629113.42,3167106340.76,2523504234.08,3764571801.55,116.04,117.16,0
3023247370.28,3180629113.42,3167106340.76,2523504234.08,117.11,118.1,1
3830915281.4,3023247370.28,3180629113.42,3167106340.76,117.23,118.09,0
2709011288.34,3830915281.4,3023247370.28,3180629113.42,117.86,117.89,0
2856051239.12,2709011288.34,3830915281.4,3023247370.28,117.37,118.1,1
3409734070.4,2856051239.12,2709011288.34,3830915281.4,117.16,118.19,1
2337087405.34,3409734070.4,2856051239.12,2709011288.34,118.1,118.07,0
2710381978.47,2337087405.34,3409734070.4,2856051239.12,118.09,119.95,1
3860139378.15,2710381978.47,2337087405.34,3409734070.4,117.89,120.01,1
3091902117.04,3860139378.15,2710381978.47,2337087405.34,118.1,120.02,1
2453516891.34,3091902117.04,3860139378.15,2710381978.47,118.19,119.7,0
3617482068.9,2453516891.34,3091902117.04,3860139378.15,118.07,119.43,0
4843124285.13,3617482068.9,2453516891.34,3091902117.04,119.95,126.7,1
14194956638.8,4843124285.13,3617482068.9,2453516891.34,120.01,126.5,0
4129329759.5,14194956638.8,4843124285.13,3617482068.9,120.02,127.03,1
3163225223.09,4129329759.5,14194956638.8,4843124285.13,119.7,128.23,1
3402600489.28,3163225223.09,4129329759.5,14194956638.8,119.43,129.44,1
4765880742.88,3402600489.28,3163225223.09,4129329759.5,126.7,129.95,1
2833932056.7499995,4765880742.88,3402600489.28,3163225223.09,126.5,130.89,1
3182707627.44,2833932056.7499995,4765880742.88,3402600489.28,127.03,130.6,0
2552856745.2,3182707627.44,2833932056.7499995,4765880742.88,128.23,131.75,1
2947513766.75,2552856745.2,3182707627.44,2833932056.7499995,129.44,133.45,1
4193392677.5,2947513766.75,2552856745.2,3182707627.44,129.95,133.94,1
4557380157.9,4193392677.5,2947513766.75,2552856745.2,130.89,133.78,0
2915021517.48,4557380157.9,4193392677.5,2947513766.75,130.6,134.15,1
2867269781.5,2915021517.48,4557380157.9,4193392677.5,131.75,135.12,1
2998200109.92,2867269781.5,2915021517.48,4557380157.9,133.45,135.53,1
2412774993.48,2998200109.92,2867269781.5,2915021517.48,133.94,134.92,0
2539931602.88,2412774993.48,2998200109.92,2867269781.5,133.78,135.08,1
2901068853.76,2539931602.88,2412774993.48,2998200109.92,134.15,135.35,1
2620540720.95,2901068853.76,2539931602.88,2412774993.48,135.12,135.41,1
