,t-1,t-2,t-3,t-4,t-5,t,movement
29,4581833304.6144,4181880671.994,3340913525.02065,4553436855.842699,4454950252.4733,154.59250000000003,0
15,3229357552.4897594,3187238651.0110025,3571678381.68458,4455396900.582161,3260715587.1484795,105.7455,1
24,2957173649.4432507,3189557149.8548994,3906464940.4015503,2933429667.473399,3280724584.7683487,148.154,1
17,4897176545.3485,2619082966.630725,3229357552.4897594,3187238651.0110025,3571678381.68458,113.3685,1
8,5147028722.58225,4439565408.6411495,5623904614.925099,5609451991.669126,8105131518.625934,92.95545,0
9,5400970432.972801,5147028722.58225,4439565408.6411495,5623904614.925099,5609451991.669126,95.4598,1
30,4301027471.286251,4581833304.6144,4181880671.994,3340913525.02065,4553436855.842699,162.61749999999998,1
25,4454950252.4733,2957173649.4432507,3189557149.8548994,3906464940.4015503,2933429667.473399,149.94349999999997,1
12,4455396900.582161,3260715587.1484795,3366596445.87215,5400970432.972801,5147028722.58225,93.7082,0
0,6538646670.707698,5669086176.530399,6595687904.478299,7434632348.791424,7583508006.475275,122.609,1
