,t-1,t,movement
117,145.63,152.53400000000002,1
19,125.146,124.558,0
82,106.5,104.456,0
97,109.474,113.272,1
56,93.1292,93.1854,1
12,119.23999999999998,120.2,1
132,158.092,160.124,1
65,102.754,93.77200000000002,0
66,93.77200000000002,90.9544,0
18,122.912,125.146,1
51,94.2132,93.65619999999998,0
78,96.4226,102.23,1
94,106.526,109.558,1
133,160.124,162.49200000000002,1
100,114.704,115.868,1
64,106.846,102.754,0
27,122.698,117.58,0
69,92.303,97.0214,1
125,143.07800000000003,143.24,1
73,93.6922,91.67839999999998,0
11,118.596,119.23999999999998,1
119,152.254,152.572,1
110,138.084,139.1,1
113,142.3,140.55599999999998,0
55,91.3754,93.1292,1
45,113.748,112.858,0
9,117.496,120.91,1
4,112.96,117.872,1
26,120.218,122.698,1
124,144.632,143.07800000000003,0
31,110.678,102.6214,0
98,113.272,114.85,1
36,109.788,105.79,0
16,121.118,120.16,0
10,120.91,118.596,0
93,108.058,106.526,0
111,139.1,141.026,1
42,116.72,111.97,0
118,152.53400000000002,152.254,0
127,147.32600000000002,150.16000000000005,1
96,108.84,109.474,1
60,101.5966,102.53000000000002,1
0,102.52199999999998,103.776,1
84,104.96999999999998,106.502,1
