,t-1,t,movement
117,5134362939.962,152.53400000000002,1
19,6249283747.9408,124.558,0
82,2382447152.7000003,104.456,0
97,3249005695.4732003,113.272,1
56,3787176587.752801,93.1854,1
12,4695465964.111999,120.2,1
132,4138756139.4168,160.124,1
65,3096350051.1324,93.77200000000002,0
66,6622832718.454402,90.9544,0
18,5500763799.929599,125.146,1
51,5953024332.31824,93.65619999999998,0
78,4442734393.94944,102.23,1
94,4368506091.95,109.558,1
133,3850542051.1488,162.49200000000002,1
100,2561540226.1312,115.868,1
64,4088735587.5448,102.754,0
27,8955434704.2848,117.58,0
69,3430284873.7058,97.0214,1
125,3330699312.6680007,143.24,1
73,3396514156.44856,91.67839999999998,0
11,5458737186.103201,119.23999999999998,1
119,4818271892.9484,152.572,1
110,2686206820.5504003,139.1,1
113,3038280085.92,140.55599999999998,0
55,4247083141.87604,93.1292,1
45,3518306742.3240004,112.858,0
9,6772141602.6608,120.91,1
4,6448666602.432001,117.872,1
26,5149863965.0416,122.698,1
124,3682128032.7152,143.07800000000003,0
31,5430007269.7392,102.6214,0
98,4196558530.2128,114.85,1
36,5557168048.2864,105.79,0
16,7783116465.085601,120.16,0
10,6832213151.092001,118.596,0
93,4336237913.623199,106.526,0
111,4087237032.58,141.026,1
42,4744889464.528,111.97,0
118,5336979819.298801,152.254,0
127,3315564411.0260005,150.16000000000005,1
96,3195484279.44,109.474,1
60,3821993604.27892,102.53000000000002,1
0,6121411400.470799,103.776,1
84,3475214875.6919994,106.502,1
