,t-1,t-2,t-3,t-4,t-5,t,movement
108,141.026,139.1,138.084,137.658,136.276,142.3,1
67,95.782,97.0214,92.303,89.7264,90.9544,95.8736,1
31,110.316,107.084,106.692,102.6214,110.678,109.788,0
119,143.848,150.70800000000003,152.646,152.572,152.254,144.632,1
42,112.858,113.748,112.302,111.97,116.72,110.848,0
12,121.118,123.88,120.162,120.2,119.23999999999998,120.16,0
81,106.502,104.96999999999998,104.456,106.5,106.566,111.67,1
69,93.6922,95.8736,95.782,97.0214,92.303,91.67839999999998,0
104,136.276,134.7,132.12600000000003,128.23,121.172,137.658,1
109,142.3,141.026,139.1,138.084,137.658,140.55599999999998,0
113,145.63,142.198,140.048,140.55599999999998,142.3,152.53400000000002,1
56,101.5966,98.2416,97.283,93.1854,93.1292,102.53000000000002,1
66,97.0214,92.303,89.7264,90.9544,93.77200000000002,95.782,0
19,121.62,121.694,122.564,124.558,125.146,120.4,0
132,157.75799999999998,159.804,162.49200000000002,160.124,158.092,152.094,0
78,106.5,106.566,105.46,102.23,96.4226,104.456,0
11,123.88,120.162,120.2,119.23999999999998,118.596,121.118,0
27,110.678,111.034,111.738,117.58,122.698,102.6214,0
127,158.368,156.418,149.334,150.16000000000005,147.32600000000002,158.092,0
110,140.55599999999998,142.3,141.026,139.1,138.084,140.048,0
36,110.026,106.696,106.31199999999998,105.79,109.788,112.952,1
118,150.70800000000003,152.646,152.572,152.254,152.53400000000002,143.848,0
60,106.846,105.896,105.962,102.53000000000002,101.5966,102.754,0
4,121.276,123.334,123.068,117.872,112.96,117.496,0
131,159.804,162.49200000000002,160.124,158.092,158.368,157.75799999999998,0
26,111.034,111.738,117.58,122.698,120.218,110.678,0
138,164.03199999999998,155.822,158.054,155.23600000000002,153.28199999999998,172.562,1
96,114.704,114.85,113.272,109.474,108.84,115.868,1
16,124.558,125.146,122.912,120.16,121.118,122.564,0
18,121.694,122.564,124.558,125.146,122.912,121.62,0
10,120.162,120.2,119.23999999999998,118.596,120.91,123.88,1
111,140.048,140.55599999999998,142.3,141.026,139.1,142.198,1
101,128.23,121.172,118.44,117.716,115.868,132.12600000000003,1
94,113.272,109.474,108.84,109.558,106.526,114.85,1
51,91.3754,92.7564,94.0338,93.65619999999998,94.2132,93.1292,1
45,103.862,104.77800000000002,110.848,112.858,113.748,100.3888,0
82,111.67,106.502,104.96999999999998,104.456,106.5,110.606,0
136,158.054,155.23600000000002,153.28199999999998,152.094,157.75799999999998,155.822,0
65,92.303,89.7264,90.9544,93.77200000000002,102.754,97.0214,1
0,112.96,108.602,104.058,103.776,102.52199999999998,117.872,1
55,98.2416,97.283,93.1854,93.1292,91.3754,101.5966,1
28,102.6214,110.678,111.034,111.738,117.58,106.692,1
