t-1,t-2,t-3,t-4,t-5,t,movement
3181945528.052,2965906542.8104005,2561540226.1312,2468460414.89,4196558530.2128,118.44,1
3032275675.9680004,3181945528.052,2965906542.8104005,2561540226.1312,2468460414.89,121.172,1
5550052336.5272,3032275675.9680004,3181945528.052,2965906542.8104005,2561540226.1312,128.23,1
3659852283.884,5550052336.5272,3032275675.9680004,3181945528.052,2965906542.8104005,132.12600000000003,1
3479763986.908801,3659852283.884,5550052336.5272,3032275675.9680004,3181945528.052,134.7,1
2747352568.68,3479763986.908801,3659852283.884,5550052336.5272,3032275675.9680004,136.276,1
3366336712.7096004,2747352568.68,3479763986.908801,3659852283.884,5550052336.5272,137.658,1
2623716713.6184,3366336712.7096004,2747352568.68,3479763986.908801,3659852283.884,138.084,1
2686206820.5504003,2623716713.6184,3366336712.7096004,2747352568.68,3479763986.908801,139.1,1
4087237032.58,2686206820.5504003,2623716713.6184,3366336712.7096004,2747352568.68,141.026,1
3514121716.8092003,4087237032.58,2686206820.5504003,2623716713.6184,3366336712.7096004,142.3,1
3038280085.92,3514121716.8092003,4087237032.58,2686206820.5504003,2623716713.6184,140.55599999999998,0
2865596300.9232,3038280085.92,3514121716.8092003,4087237032.58,2686206820.5504003,140.048,0
2415100114.5248003,2865596300.9232,3038280085.92,3514121716.8092003,4087237032.58,142.198,1
2614683585.0688004,2415100114.5248003,2865596300.9232,3038280085.92,3514121716.8092003,145.63,1
5134362939.962,2614683585.0688004,2415100114.5248003,2865596300.9232,3038280085.92,152.53400000000002,1
5336979819.298801,5134362939.962,2614683585.0688004,2415100114.5248003,2865596300.9232,152.254,0
4818271892.9484,5336979819.298801,5134362939.962,2614683585.0688004,2415100114.5248003,152.572,1
3171629905.1192,4818271892.9484,5336979819.298801,5134362939.962,2614683585.0688004,152.646,1
3504959514.3264,3171629905.1192,4818271892.9484,5336979819.298801,5134362939.962,150.70800000000003,0
6248443471.826401,3504959514.3264,3171629905.1192,4818271892.9484,5336979819.298801,143.848,0
5216075780.352,6248443471.826401,3504959514.3264,3171629905.1192,4818271892.9484,144.632,1
3682128032.7152,5216075780.352,6248443471.826401,3504959514.3264,3171629905.1192,143.07800000000003,0
3330699312.6680007,3682128032.7152,5216075780.352,6248443471.826401,3504959514.3264,143.24,1
3036034796.952,3330699312.6680007,3682128032.7152,5216075780.352,6248443471.826401,147.32600000000002,1
3315564411.0260005,3036034796.952,3330699312.6680007,3682128032.7152,5216075780.352,150.16000000000005,1
3132690806.352,3315564411.0260005,3036034796.952,3330699312.6680007,3682128032.7152,149.334,0
3587408420.478,3132690806.352,3315564411.0260005,3036034796.952,3330699312.6680007,156.418,1
5511011106.202001,3587408420.478,3132690806.352,3315564411.0260005,3036034796.952,158.368,1
4562068745.9648,5511011106.202001,3587408420.478,3132690806.352,3315564411.0260005,158.092,0
4138756139.4168,4562068745.9648,5511011106.202001,3587408420.478,3132690806.352,160.124,1
3850542051.1488,4138756139.4168,4562068745.9648,5511011106.202001,3587408420.478,162.49200000000002,1
3968058897.290401,3850542051.1488,4138756139.4168,4562068745.9648,5511011106.202001,159.804,0
6361409939.0256,3968058897.290401,3850542051.1488,4138756139.4168,4562068745.9648,157.75799999999998,0
5492043452.219999,6361409939.0256,3968058897.290401,3850542051.1488,4138756139.4168,152.094,0
5811083078.2704,5492043452.219999,6361409939.0256,3968058897.290401,3850542051.1488,153.28199999999998,1
3177181747.9236,5811083078.2704,5492043452.219999,6361409939.0256,3968058897.290401,155.23600000000002,1
2722664426.9336004,3177181747.9236,5811083078.2704,5492043452.219999,6361409939.0256,158.054,1
2921182098.3904004,2722664426.9336004,3177181747.9236,5811083078.2704,5492043452.219999,155.822,0
3974435261.4728,2921182098.3904004,2722664426.9336004,3177181747.9236,5811083078.2704,164.03199999999998,1
5785447318.745599,3974435261.4728,2921182098.3904004,2722664426.9336004,3177181747.9236,172.562,1
6382434111.112801,5785447318.745599,3974435261.4728,2921182098.3904004,2722664426.9336004,174.95999999999998,1
