t-1,t,movement
103.5,100.58,0
100.58,100.59,1
100.59,102.01,1
102.01,105.93,1
105.93,106.04,1
106.04,103.42,0
103.42,104.35,1
104.35,103.95,0
103.95,101.12,0
101.12,100.32,0
100.32,102.9,1
102.9,103.72,1
103.72,106.39,1
106.39,106.96,1
106.96,107.06,1
107.06,103.31,0
103.31,109.16,1
109.16,112.57,1
112.57,110.91,0
110.91,112.3,1
112.3,112.32,1
112.32,113.17,1
113.17,113.99,1
113.99,113.02,0
113.02,113.77,1
113.77,115.96,1
115.96,118.67,1
118.67,120.19,1
120.19,120.77,1
120.77,121.49,1
121.49,122.31,1
122.31,122.07,0
122.07,123.07,1
123.07,126.4,1
126.4,125.61,0
125.61,122.38,0
122.38,123.93,1
123.93,122.08,0
122.08,122.67,1
122.67,122.94,1
122.94,122.16,0
122.16,120.14,0
120.14,120.32,1
120.32,120.82,1
120.82,118.32,0
118.32,116.16,0
116.16,116.79,1
116.79,117.47,1
117.47,118.74,1
118.74,120.73,1
120.73,122.09,1
122.09,121.17,0
121.17,119.67,0
119.67,120.89,1
120.89,120.4,0
120.4,117.27,0
117.27,118.07,1
118.07,117.14,0
117.14,120.1,1
120.1,118.24,0
118.24,118.08,0
118.08,119.1,1
119.1,121.02,1
121.02,119.76,0
119.76,119.37,0
119.37,120.28,1
120.28,120.78,1
120.78,120.54,0
120.54,120.03,0
120.03,120.48,1
120.48,119.91,0
119.91,118.55,0
118.55,121.27,1
121.27,120.6,0
120.6,122.22,1
122.22,123.24,1
123.24,123.82,1
123.82,126.06,1
126.06,124.06,0
124.06,122.24,0
122.24,118.94,0
118.94,122.54,1
122.54,122.3,0
122.3,119.57,0
119.57,118.8,0
118.8,119.55,1
119.55,121.79,1
121.79,120.54,0
120.54,120.12,0
120.12,120.26,1
120.26,123.07,1
123.07,122.89,0
122.89,124.23,1
124.23,124.11,0
124.11,124.1,0
124.1,125.41,1
125.41,126.49,1
126.49,123.72,0
123.72,126.01,1
126.01,125.75,0
125.75,124.31,0
124.31,124.57,1
124.57,124.0,0
124.0,124.16,1
124.16,123.47,0
123.47,122.77,0
122.77,121.97,0
121.97,121.61,0
