,t-1,t,movement
104,4031008358.4,123.47,0
114,4190592960.84,122.03,1
647,2570982733.11,147.62,0
425,4540470374.88,103.24,1
676,4509059337.02,160.92,1
423,4212937209.1,103.32,0
92,4918253195.1,124.23,1
7,7393559177.099999,103.95,0
89,6061827451.68,120.26,1
605,3091675572.48,151.61,0
552,2127909921.61,138.83,1
537,2998200109.92,135.53,1
539,2539931602.88,135.08,1
408,3585804282.9,106.93,0
449,3986763312.36,115.18,1
582,2876049292.32,142.13,1
140,5249026869.29,117.17,0
28,9414585582.64,120.77,1
43,9222135155.2,120.82,1
42,7144622599.74,120.32,1
73,6003222867.77,120.6,0
167,8277370235.46,107.7,1
247,1468902651.0600002,102.83,0
630,3105480216.1600003,141.66,0
66,4105509060.96,120.78,1
11,8951915256.9,103.72,1
331,10645090064.972,91.792,0
587,6707803694.27,144.84,0
178,7304423788.38,108.76,0
291,4921705695.226,97.522,1
662,4315363172.12,156.65,0
439,3886867588.5,110.68,1
689,3918024420.24,152.73,0
456,2672816716.8,115.78,1
177,4327107575.6,109.22,0
493,5026077515.33,114.14,1
481,3084195315.2000003,108.77,0
83,6561572579.599999,119.57,0
218,3763857948.63,108.15,0
490,2936532886.56,113.36,1
349,3493010615.664,95.342,1
15,6283863146.8,103.31,0
416,2865692292.3,104.59,0
256,6745712766.036,94.86,1
437,2702146622.72,111.58,1
314,3865936255.72,106.3,0
645,2414562662.19,149.43,0
549,2858913201.0800004,137.54,1
336,3611723254.828,90.804,0
673,4782248690.5,161.33,0
369,3062439376.504,93.063,0
9,6399239249.92,100.32,0
249,3363149409.44,103.32,0
22,8378070049.63,113.99,1
221,3139897316.4,112.91,1
468,6181057940.259999,106.08,0
705,6611444173.62,155.69,1
367,5206413440.975,92.616,0
602,2945133092.34,152.72,1
203,4810862279.04,114.16,1
434,3381635237.85,110.36,0
93,6616041702.39,124.11,0
382,2197699827.57,94.874,1
299,2590708528.952,99.233,1
656,6159619319.32,156.92,1
184,6440792421.679999,107.8,0
581,2698864304.5,142.02,0
319,2887283387.55,106.91,1
153,11717742135.11,110.38,0
75,4838152520.88,123.24,1
595,4034830994.73,154.31,0
277,3986711359.048,91.252,0
68,4612408495.38,120.03,0
550,2572607302.2,137.6,1
188,7004762774.88,105.82,1
271,3708411520.416,90.961,0
236,5360124367.82,111.84,1
88,5309467569.0,120.12,0
610,4107581673.3,154.21,1
117,4343682894.84,121.23,0
125,3440390525.34,120.25,0
591,6010534691.35,151.49,0
289,2663505365.664,93.594,0
238,5306841724.25,108.29,0
0,5816333403.0,100.58,0
712,7452386565.8,168.43,1
457,4558582089.32,113.17,0
627,4519533514.21,142.95,1
436,3231676969.56,110.72,1
278,3879465080.008,90.7,0
116,6926679284.34,121.78,1
228,1536834447.1699998,113.9,1
338,3967942953.784,90.366,1
351,3433897879.5220003,97.787,1
274,4388483996.876,91.009,0
479,1237061799.44,109.81,0
144,4115035483.56,115.76,0
417,2501966210.2200003,103.78,0
409,2482672938.2000003,106.81,0
651,4141844539.2,155.22,1
584,2996601402.8700004,144.89,1
268,12248494833.883,90.585,1
503,3542595012.79,114.31,1
307,2727873825.87,102.28,0
310,3189124293.2,106.05,1
46,8426218753.92,116.79,1
261,7606995006.04,93.059,0
195,3399442271.42,107.16,1
720,5175673321.5,174.67,0
603,2957256946.08,152.46,0
107,6732193793.33,121.61,0
500,2052761200.44,114.92,0
538,2412774993.48,134.92,0
363,3463108990.6920004,94.914,1
100,4048048304.25,124.31,0
596,3108871533.82,149.12,0
644,2876143830.0,152.31,1
522,3617482068.9,119.43,0
420,2618028886.0,105.48,1
179,8427749427.96,110.44,1
304,4682296157.16,102.52,0
445,2733096407.13,113.63,1
692,2873603543.6,153.92,1
149,6087845300.55,110.74,1
124,3827973699.81,120.66,0
569,2915925270.0,141.68,0
625,3554769496.18,144.74,1
185,5857277533.8,104.55,0
464,2957959053.4500003,107.11,0
429,10234178074.6,112.53,0
685,5732149875.68,151.35,0
710,2665445062.05,162.47,1
377,2390955563.088,92.556,0
321,3577084254.4,108.5,1
664,3446319363.75,159.41,1
142,4147957466.25,117.39,0
141,5458124485.84,117.75,1
428,11886620071.68,113.15,1
320,2887829934.35,108.44,1
19,9807943875.96,112.3,1
172,9364360790.4,107.92,1
585,4914548106.629999,145.81,1
312,2610331429.0,106.46,1
670,4446763518.599999,163.41,1
12,6015296475.32,106.39,1
305,3760144698.64,103.3,1
354,3894538636.758,95.886,0
25,4652714142.07,115.96,1
536,2867269781.5,135.12,1
169,5875639246.14,104.74,0
38,7963419402.4,122.67,1
535,2915021517.48,134.15,1
245,3515376251.52,104.56,1
298,3390732697.995,98.984,1
470,3656314603.68,104.04,0
272,3338707950.669,92.761,1
154,5588455511.2,111.16,1
126,3535740812.5,119.95,0
517,2337087405.34,118.07,0
341,2251102528.083,87.979,0
287,3348178519.9100003,93.66,1
113,4018895147.72,121.49,0
462,4886362082.34,109.27,1
173,7078270989.6,109.49,1
359,2050536012.794,96.354,0
653,3466708938.6600003,158.88,1
57,5910307325.849999,117.14,0
480,2801031942.66,109.7,0
222,5473915528.13,114.36,1
280,3693600854.14,93.545,1
17,17005081468.32,112.57,1
440,3770096492.44,110.18,0
322,2716221116.0,106.34,0
255,7389994166.475,93.349,1
634,2870227182.6,144.65,1
690,3369734070.93,153.57,1
190,5766898950.0,106.71,1
650,10958805783.99,154.4,0
636,3706170796.7,147.93,1
405,2518701453.1200004,105.93,1
94,5804525039.67,124.1,0
180,5785749936.559999,108.71,0
301,4190653541.16,102.57,1
521,2453516891.34,119.7,0
529,2833932056.7499995,130.89,1
699,2642823293.3900003,155.44,0
514,2709011288.34,117.89,0
635,3623602559.5,146.66,1
465,3356065419.46,108.66,1
5,6013834219.360001,103.42,0
706,3736188679.35,155.61,0
45,8572646177.519999,116.16,0
511,3180629113.42,117.16,0
543,4892921742.24,137.36,0
171,6159717363.42,105.6,0
16,10383788827.25,109.16,1
48,6406141049.309999,118.74,1
696,2699941121.82,155.28,1
659,4747808668.64,160.37,0
3,4317524285.2,105.93,1
486,2769462138.63,109.28,1
447,7243009311.719999,114.9,1
316,2791005456.36,105.06,0
704,2597160971.5,155.42,0
283,3567124069.0470004,92.965,0
96,5221021965.84,126.49,1
285,3207608782.2840004,91.659,0
448,4336905670.5,114.54,0
225,3824336053.0,114.45,1
26,7556506845.16,118.67,1
652,3209280757.02,157.62,1
263,6740201022.464,92.712,0
50,6481773247.02,122.09,1
364,3006907316.19,94.602,0
229,4635286131.7,112.95,0
37,11899800364.41,122.08,0
157,4026225265.92,110.25,0
237,3393547475.52,108.97,0
691,4048026111.45,153.26,0
374,3606170427.435,91.934,1
