,t-1,t-2,t-3,t-4,t-5,t,movement
43,116.79,116.16,118.32,120.82,120.32,117.47,1
42,116.16,118.32,120.82,120.32,120.14,116.79,1
73,123.82,123.24,122.22,120.6,121.27,126.06,1
167,107.67,104.74,105.81,107.7,103.26,105.6,0
357,97.046,96.354,96.442,96.054,95.361,96.258,0
626,143.02,142.43,142.95,142.61,144.74,141.66,0
66,120.48,120.03,120.54,120.78,120.28,119.91,0
11,107.06,106.96,106.39,103.72,102.9,103.31,0
338,87.979,90.093,90.979,90.366,90.296,88.154,1
583,145.37,145.81,144.89,141.99,142.13,144.84,0
178,109.59,108.71,110.44,108.76,109.22,110.24,1
281,93.778,92.965,93.177,94.979,93.545,91.659,0
709,168.43,166.12,162.47,156.85,155.85,166.29,0
426,112.53,113.15,109.44,105.7,103.24,111.21,0
311,106.3,107.56,106.46,105.5,106.05,107.41,1
442,113.63,111.69,111.52,110.68,110.63,113.88,1
177,108.71,110.44,108.76,109.22,111.59,109.59,1
479,107.76,108.77,109.7,109.81,110.02,108.16,1
467,104.04,106.72,106.08,109.13,109.31,105.41,1
83,121.79,119.55,118.8,119.57,122.3,120.54,0
218,112.91,109.46,109.92,108.15,111.41,114.36,1
672,158.06,160.68,161.33,161.5,163.46,160.92,1
375,93.034,92.556,93.384,93.102,91.934,93.433,1
494,114.45,115.21,115.11,114.8,114.14,114.68,1
483,109.28,108.21,107.38,108.16,107.76,110.35,1
79,122.3,122.54,118.94,122.24,124.06,119.57,0
23,118.67,115.96,113.77,113.02,113.99,120.19,1
15,110.91,112.57,109.16,103.31,107.06,112.3,1
550,139.06,138.83,137.39,137.6,137.54,138.36,0
408,106.25,107.08,106.81,106.93,107.1,106.58,1
323,102.57,103.71,103.49,104.04,106.34,102.29,0
291,98.607,99.73,98.26,97.522,97.309,97.797,0
437,110.18,110.68,109.85,111.58,110.72,110.63,1
333,90.804,91.174,92.132,90.641,90.739,90.296,0
326,101.01,101.71,102.29,102.57,103.71,94.678,0
259,93.184,93.059,93.512,95.814,93.762,92.712,0
137,117.17,118.81,119.45,119.51,124.78,117.75,1
394,101.75,103.28,101.49,101.61,100.26,103.02,1
519,119.43,119.7,120.02,120.01,119.95,126.7,1
33,123.93,122.38,125.61,126.4,123.07,122.08,0
624,142.95,142.61,144.74,142.66,144.73,142.43,0
356,96.354,96.442,96.054,95.361,95.167,97.046,1
9,106.39,103.72,102.9,100.32,101.12,106.96,1
249,98.885,101.44,101.35,103.32,104.68,96.949,0
22,115.96,113.77,113.02,113.99,113.17,118.67,1
221,113.35,114.86,114.36,112.91,109.46,114.45,1
658,156.94,157.29,160.37,161.02,159.28,156.65,0
701,155.42,159.19,159.9,159.31,156.43,155.69,1
354,96.054,95.361,95.167,95.886,97.251,96.442,1
598,152.19,152.65,152.84,151.91,151.4,152.72,1
203,114.34,109.81,110.51,114.16,110.72,115.54,1
457,111.17,111.35,112.1,113.17,115.78,109.17,0
93,126.49,125.41,124.1,124.11,124.23,123.72,0
569,140.17,140.0,141.51,141.68,142.0,139.42,0
518,119.7,120.02,120.01,119.95,118.07,119.43,0
436,110.68,109.85,111.58,110.72,110.52,110.18,0
184,105.04,105.74,104.55,107.8,109.96,105.82,1
577,142.87,141.98,140.63,140.79,139.05,142.02,0
443,113.88,113.63,111.69,111.52,110.68,114.9,1
153,111.68,112.32,111.16,110.38,110.47,110.25,0
75,124.06,126.06,123.82,123.24,122.22,122.24,0
352,95.167,95.886,97.251,97.729,97.787,95.361,1
277,93.545,90.98,90.7,91.252,91.948,94.979,1
68,118.55,119.91,120.48,120.03,120.54,121.27,1
448,115.03,115.11,115.18,114.54,114.9,114.68,0
188,106.2,106.71,106.2,105.82,105.04,104.96,0
271,91.009,93.506,92.761,90.961,92.839,91.968,1
236,106.37,108.29,108.97,111.84,111.31,107.19,1
88,122.89,123.07,120.26,120.12,120.54,124.23,1
606,153.3,152.78,154.29,152.03,151.61,154.21,1
117,120.96,121.69,122.25,121.23,121.78,118.84,0
125,114.59,116.97,119.95,120.25,120.66,117.65,1
587,152.21,151.24,147.24,144.84,145.37,151.49,0
289,98.26,97.522,97.309,93.594,93.808,99.73,1
238,104.91,107.19,106.37,108.29,108.97,102.09,0
0,105.93,102.01,100.59,100.58,103.5,106.04,1
708,166.12,162.47,156.85,155.85,156.54,168.43,1
299,102.41,102.57,101.24,99.233,98.984,102.53,1
501,114.19,114.31,113.99,114.89,114.92,114.77,1
361,94.602,94.914,94.796,96.258,97.046,95.0,1
278,94.979,93.545,90.98,90.7,91.252,93.177,0
116,121.69,122.25,121.23,121.78,120.81,120.96,0
228,110.91,111.95,112.95,113.9,113.41,114.6,1
327,94.678,101.01,101.71,102.29,102.57,91.792,0
689,153.92,153.26,153.57,152.73,153.68,152.93,0
274,91.252,91.948,91.968,91.009,93.506,90.7,0
465,106.08,109.13,109.31,108.66,107.11,106.72,1
144,110.13,109.41,113.02,115.76,116.78,110.37,1
404,107.1,107.19,105.93,105.68,105.75,106.93,0
396,103.67,103.02,101.75,103.28,101.49,105.23,1
647,154.4,155.97,148.92,147.62,148.39,155.22,1
521,126.5,126.7,119.43,119.7,120.02,127.03,1
268,90.961,92.839,93.715,90.585,89.941,92.761,1
656,160.37,161.02,159.28,156.92,154.76,157.29,0
547,137.6,137.54,137.08,137.4,137.91,137.39,0
310,107.56,106.46,105.5,106.05,104.24,106.3,0
46,120.73,118.74,117.47,116.79,116.16,122.09,1
261,97.641,92.712,93.184,93.059,93.512,95.736,0
195,106.44,107.23,105.66,107.16,106.99,107.1,1
716,175.25,175.61,174.18,173.63,171.88,174.67,0
599,152.72,152.19,152.65,152.84,151.91,152.46,0
107,121.37,122.71,123.0,121.61,121.97,121.12,0
