t-1,t-2,t-3,t-4,t-5,t,movement
6639611999.13,4317524285.2,6987079877.610001,6827386392.22,103.5,106.04,1
6013834219.360001,6639611999.13,4317524285.2,6987079877.610001,100.58,103.42,0
5421407019.46,6013834219.360001,6639611999.13,4317524285.2,100.59,104.35,1
7393559177.099999,5421407019.46,6013834219.360001,6639611999.13,102.01,103.95,0
5369331740.85,7393559177.099999,5421407019.46,6013834219.360001,105.93,101.12,0
6399239249.92,5369331740.85,7393559177.099999,5421407019.46,106.04,100.32,0
8319088467.36,6399239249.92,5369331740.85,7393559177.099999,103.42,102.9,1
8951915256.9,8319088467.36,6399239249.92,5369331740.85,104.35,103.72,1
6015296475.32,8951915256.9,8319088467.36,6399239249.92,103.95,106.39,1
8599497422.99,6015296475.32,8951915256.9,8319088467.36,101.12,106.96,1
5701039877.12,8599497422.99,6015296475.32,8951915256.9,100.32,107.06,1
6283863146.8,5701039877.12,8599497422.99,6015296475.32,102.9,103.31,0
10383788827.25,6283863146.8,5701039877.12,8599497422.99,103.72,109.16,1
17005081468.32,10383788827.25,6283863146.8,5701039877.12,106.39,112.57,1
10034288187.13,17005081468.32,10383788827.25,6283863146.8,106.96,110.91,0
9807943875.96,10034288187.13,17005081468.32,10383788827.25,107.06,112.3,1
7432192557.0,9807943875.96,10034288187.13,17005081468.32,103.31,112.32,1
6157863915.839999,7432192557.0,9807943875.96,10034288187.13,109.16,113.17,1
8378070049.63,6157863915.839999,7432192557.0,9807943875.96,112.57,113.99,1
5065558293.8,8378070049.63,6157863915.839999,7432192557.0,110.91,113.02,0
5194956953.7,5065558293.8,8378070049.63,6157863915.839999,112.3,113.77,1
4652714142.07,5194956953.7,5065558293.8,8378070049.63,112.32,115.96,1
7556506845.16,4652714142.07,5194956953.7,5065558293.8,113.17,118.67,1
9176989745.37,7556506845.16,4652714142.07,5194956953.7,113.99,120.19,1
9414585582.64,9176989745.37,7556506845.16,4652714142.07,113.02,120.77,1
6875143957.37,9414585582.64,9176989745.37,7556506845.16,113.77,121.49,1
8066161987.21,6875143957.37,9414585582.64,9176989745.37,115.96,122.31,1
5775238961.64,8066161987.21,6875143957.37,9414585582.64,118.67,122.07,0
4794841851.15,5775238961.64,8066161987.21,6875143957.37,120.19,123.07,1
6335006343.54,4794841851.15,5775238961.64,8066161987.21,120.77,126.4,1
9431647576.0,6335006343.54,4794841851.15,5775238961.64,121.49,125.61,0
9143325995.46,9431647576.0,6335006343.54,4794841851.15,122.31,122.38,0
9614263361.2,9143325995.46,9431647576.0,6335006343.54,122.07,123.93,1
11899800364.41,9614263361.2,9143325995.46,9431647576.0,123.07,122.08,0
7963419402.4,11899800364.41,9614263361.2,9143325995.46,126.4,122.67,1
6208183581.39,7963419402.4,11899800364.41,9614263361.2,125.61,122.94,1
4891960002.42,6208183581.39,7963419402.4,11899800364.41,122.38,122.16,0
4070409680.4,4891960002.42,6208183581.39,7963419402.4,123.93,120.14,0
7144622599.74,4070409680.4,4891960002.42,6208183581.39,122.08,120.32,1
9222135155.2,7144622599.74,4070409680.4,4891960002.42,122.67,120.82,1
11254682391.96,9222135155.2,7144622599.74,4070409680.4,122.94,118.32,0
8572646177.519999,11254682391.96,9222135155.2,7144622599.74,122.16,116.16,0
8426218753.92,8572646177.519999,11254682391.96,9222135155.2,120.14,116.79,1
5945877237.18,8426218753.92,8572646177.519999,11254682391.96,120.32,117.47,1
6406141049.309999,5945877237.18,8426218753.92,8572646177.519999,120.82,118.74,1
4482210700.139999,6406141049.309999,5945877237.18,8426218753.92,118.32,120.73,1
6481773247.02,4482210700.139999,6406141049.309999,5945877237.18,116.16,122.09,1
8385162443.66,6481773247.02,4482210700.139999,6406141049.309999,116.79,121.17,0
5840654394.33,8385162443.66,6481773247.02,4482210700.139999,117.47,119.67,0
8650134732.45,5840654394.33,8385162443.66,6481773247.02,118.74,120.89,1
4796827433.86,8650134732.45,5840654394.33,8385162443.66,120.73,120.4,0
4160752016.4,4796827433.86,8650134732.45,5840654394.33,122.09,117.27,0
6373998122.219999,4160752016.4,4796827433.86,8650134732.45,121.17,118.07,1
5910307325.849999,6373998122.219999,4160752016.4,4796827433.86,119.67,117.14,0
4874394538.0,5910307325.849999,6373998122.219999,4160752016.4,120.89,120.1,1
5952124653.9,4874394538.0,5910307325.849999,6373998122.219999,120.4,118.24,0
5236737981.44,5952124653.9,4874394538.0,5910307325.849999,117.27,118.08,0
5047112923.2,5236737981.44,5952124653.9,4874394538.0,118.07,119.1,1
4037852302.2,5047112923.2,5236737981.44,5952124653.9,117.14,121.02,1
4736315809.74,4037852302.2,5047112923.2,5236737981.44,120.1,119.76,0
4409502601.440001,4736315809.74,4037852302.2,5047112923.2,118.24,119.37,0
4688734826.85,4409502601.440001,4736315809.74,4037852302.2,118.08,120.28,1
4105509060.96,4688734826.85,4409502601.440001,4736315809.74,119.1,120.78,1
5107426637.94,4105509060.96,4688734826.85,4409502601.440001,121.02,120.54,0
4612408495.38,5107426637.94,4105509060.96,4688734826.85,119.76,120.03,0
3223731411.42,4612408495.38,5107426637.94,4105509060.96,119.37,120.48,1
3669572490.72,3223731411.42,4612408495.38,5107426637.94,120.28,119.91,0
3579405830.7,3669572490.72,3223731411.42,4612408495.38,120.78,118.55,0
6481229741.7,3579405830.7,3669572490.72,3223731411.42,120.54,121.27,1
6003222867.77,6481229741.7,3579405830.7,3669572490.72,120.03,120.6,0
4111847352.0,6003222867.77,6481229741.7,3579405830.7,120.48,122.22,1
4838152520.88,4111847352.0,6003222867.77,6481229741.7,119.91,123.24,1
5935440020.639999,4838152520.88,4111847352.0,6003222867.77,118.55,123.82,1
5801167093.12,5935440020.639999,4838152520.88,4111847352.0,121.27,126.06,1
12860437108.86,5801167093.12,5935440020.639999,4838152520.88,120.6,124.06,0
15524333701.4,12860437108.86,5801167093.12,5935440020.639999,122.22,122.24,0
8153019521.28,15524333701.4,12860437108.86,5801167093.12,123.24,118.94,0
10412117143.74,8153019521.28,15524333701.4,12860437108.86,123.82,122.54,1
7544649574.88,10412117143.74,8153019521.28,15524333701.4,126.06,122.3,0
6561572579.599999,7544649574.88,10412117143.74,8153019521.28,124.06,119.57,0
6199104139.03,6561572579.599999,7544649574.88,10412117143.74,122.24,118.8,0
9011928855.6,6199104139.03,6561572579.599999,7544649574.88,118.94,119.55,1
5457789729.45,9011928855.6,6199104139.03,6561572579.599999,122.54,121.79,1
7089237816.58,5457789729.45,9011928855.6,6199104139.03,122.3,120.54,0
5309467569.0,7089237816.58,5457789729.45,9011928855.6,119.57,120.12,0
6061827451.68,5309467569.0,7089237816.58,5457789729.45,118.8,120.26,1
4371998904.56,6061827451.68,5309467569.0,7089237816.58,119.55,123.07,1
5829412754.009999,4371998904.56,6061827451.68,5309467569.0,121.79,122.89,0
4918253195.1,5829412754.009999,4371998904.56,6061827451.68,120.54,124.23,1
6616041702.39,4918253195.1,5829412754.009999,4371998904.56,120.12,124.11,0
5804525039.67,6616041702.39,4918253195.1,5829412754.009999,120.26,124.1,0
4740559066.9,5804525039.67,6616041702.39,4918253195.1,123.07,125.41,1
5221021965.84,4740559066.9,5804525039.67,6616041702.39,122.89,126.49,1
6043429986.23,5221021965.84,4740559066.9,5804525039.67,124.23,123.72,0
9160733701.32,6043429986.23,5221021965.84,4740559066.9,124.11,126.01,1
