,t-1,t,movement
34,154.59250000000003,162.61749999999998,1
0,104.7395,119.30849999999998,1
4,122.33399999999996,122.609,1
29,148.154,149.94349999999997,1
15,103.99615,98.5816,0
19,97.4368,105.7455,1
5,122.609,120.45000000000002,0
11,112.439,100.8105,0
1,119.30849999999998,119.5695,1
24,111.60899999999997,116.68199999999996,1
2,119.5695,120.8705,1
33,160.128,154.59250000000003,0
3,120.8705,122.33399999999996,1
32,153.57000000000002,160.128,1
23,108.488,111.60899999999997,1
27,137.77949999999998,140.98250000000002,1
10,112.917,112.439,0
22,113.3685,108.488,0
18,93.51155,97.4368,1
25,116.68199999999996,129.05700000000002,1
6,120.45000000000002,112.7575,0
20,105.7455,108.437,1
7,112.7575,106.67835,0
14,95.4598,103.99615,1
28,140.98250000000002,148.154,1
