,t-1,t,movement
34,4301027471.286251,162.61749999999998,1
0,7583508006.475275,119.30849999999998,1
4,6538646670.707698,122.609,1
29,4454950252.4733,149.94349999999997,1
15,3260715587.1484795,98.5816,0
19,3229357552.4897594,105.7455,1
5,5078304640.3851,120.45000000000002,0
11,4439565408.6411495,100.8105,0
1,7434632348.791424,119.5695,1
24,3280724584.7683487,116.68199999999996,1
2,6595687904.478299,120.8705,1
33,4581833304.6144,154.59250000000003,0
3,5669086176.530399,122.33399999999996,1
32,4181880671.994,160.128,1
23,3703891352.0436,111.60899999999997,1
27,3189557149.8548994,140.98250000000002,1
10,5623904614.925099,112.439,0
22,3597038940.800025,108.488,0
18,3187238651.0110025,97.4368,1
25,2933429667.473399,129.05700000000002,1
6,6273025725.615002,112.7575,0
20,2619082966.630725,108.437,1
7,6812933040.207001,106.67835,0
14,3366596445.87215,103.99615,1
28,2957173649.4432507,148.154,1
