t-1,t-2,t-3,t-4,t-5,t,movement
122.33399999999996,120.8705,119.5695,119.30849999999998,104.7395,122.609,1
122.609,122.33399999999996,120.8705,119.5695,119.30849999999998,120.45000000000002,0
120.45000000000002,122.609,122.33399999999996,120.8705,119.5695,112.7575,0
112.7575,120.45000000000002,122.609,122.33399999999996,120.8705,106.67835,0
106.67835,112.7575,120.45000000000002,122.609,122.33399999999996,107.14650000000002,1
107.14650000000002,106.67835,112.7575,120.45000000000002,122.609,112.917,1
112.917,107.14650000000002,106.67835,112.7575,120.45000000000002,112.439,0
112.439,112.917,107.14650000000002,106.67835,112.7575,100.8105,0
100.8105,112.439,112.917,107.14650000000002,106.67835,92.95545,0
92.95545,100.8105,112.439,112.917,107.14650000000002,95.4598,1
95.4598,92.95545,100.8105,112.439,112.917,103.99615,1
103.99615,95.4598,92.95545,100.8105,112.439,98.5816,0
98.5816,103.99615,95.4598,92.95545,100.8105,93.7082,0
93.7082,98.5816,103.99615,95.4598,92.95545,93.51155,0
93.51155,93.7082,98.5816,103.99615,95.4598,97.4368,1
97.4368,93.51155,93.7082,98.5816,103.99615,105.7455,1
105.7455,97.4368,93.51155,93.7082,98.5816,108.437,1
108.437,105.7455,97.4368,93.51155,93.7082,113.3685,1
113.3685,108.437,105.7455,97.4368,93.51155,108.488,0
108.488,113.3685,108.437,105.7455,97.4368,111.60899999999997,1
111.60899999999997,108.488,113.3685,108.437,105.7455,116.68199999999996,1
116.68199999999996,111.60899999999997,108.488,113.3685,108.437,129.05700000000002,1
