,t-1,t-2,t-3,t-4,t-5,t,movement
4,8105131518.625934,6812933040.207001,6273025725.615002,5078304640.3851,6538646670.707698,107.14650000000002,1
16,2619082966.630725,3229357552.4897594,3187238651.0110025,3571678381.68458,4455396900.582161,108.437,1
5,5609451991.669126,8105131518.625934,6812933040.207001,6273025725.615002,5078304640.3851,112.917,1
13,3571678381.68458,4455396900.582161,3260715587.1484795,3366596445.87215,5400970432.972801,93.51155,0
11,3260715587.1484795,3366596445.87215,5400970432.972801,5147028722.58225,4439565408.6411495,98.5816,0
23,3189557149.8548994,3906464940.4015503,2933429667.473399,3280724584.7683487,3703891352.0436,140.98250000000002,1
1,5078304640.3851,6538646670.707698,5669086176.530399,6595687904.478299,7434632348.791424,120.45000000000002,0
2,6273025725.615002,5078304640.3851,6538646670.707698,5669086176.530399,6595687904.478299,112.7575,0
26,4553436855.842699,4454950252.4733,2957173649.4432507,3189557149.8548994,3906464940.4015503,144.569,0
3,6812933040.207001,6273025725.615002,5078304640.3851,6538646670.707698,5669086176.530399,106.67835,0
21,2933429667.473399,3280724584.7683487,3703891352.0436,3597038940.800025,4897176545.3485,129.05700000000002,1
27,3340913525.02065,4553436855.842699,4454950252.4733,2957173649.4432507,3189557149.8548994,153.57000000000002,1
22,3906464940.4015503,2933429667.473399,3280724584.7683487,3703891352.0436,3597038940.800025,137.77949999999998,1
18,3597038940.800025,4897176545.3485,2619082966.630725,3229357552.4897594,3187238651.0110025,108.488,0
31,4725867423.462125,4301027471.286251,4581833304.6144,4181880671.994,3340913525.02065,174.95999999999998,1
20,3280724584.7683487,3703891352.0436,3597038940.800025,4897176545.3485,2619082966.630725,116.68199999999996,1
7,4439565408.6411495,5623904614.925099,5609451991.669126,8105131518.625934,6812933040.207001,100.8105,0
10,3366596445.87215,5400970432.972801,5147028722.58225,4439565408.6411495,5623904614.925099,103.99615,1
14,3187238651.0110025,3571678381.68458,4455396900.582161,3260715587.1484795,3366596445.87215,97.4368,1
28,4181880671.994,3340913525.02065,4553436855.842699,4454950252.4733,2957173649.4432507,160.128,1
19,3703891352.0436,3597038940.800025,4897176545.3485,2619082966.630725,3229357552.4897594,111.60899999999997,1
6,5623904614.925099,5609451991.669126,8105131518.625934,6812933040.207001,6273025725.615002,112.439,0
