t-1,t,movement
102.52199999999998,103.776,1
103.776,104.058,1
104.058,108.602,1
108.602,112.96,1
112.96,117.872,1
117.872,123.068,1
123.068,123.334,1
123.334,121.276,0
121.276,117.496,0
117.496,120.91,1
120.91,118.596,0
118.596,119.23999999999998,1
119.23999999999998,120.2,1
120.2,120.162,0
120.162,123.88,1
123.88,121.118,0
121.118,120.16,0
120.16,122.912,1
122.912,125.146,1
125.146,124.558,0
124.558,122.564,0
122.564,121.694,0
121.694,121.62,0
121.62,120.4,0
120.4,118.484,0
118.484,120.218,1
120.218,122.698,1
122.698,117.58,0
117.58,111.738,0
111.738,111.034,0
111.034,110.678,0
110.678,102.6214,0
102.6214,106.692,1
106.692,107.084,1
107.084,110.316,1
110.316,109.788,0
109.788,105.79,0
105.79,106.31199999999998,1
106.31199999999998,106.696,1
106.696,110.026,1
110.026,112.952,1
112.952,116.72,1
116.72,111.97,0
111.97,112.302,1
112.302,113.748,1
113.748,112.858,0
112.858,110.848,0
110.848,104.77800000000002,0
104.77800000000002,103.862,0
103.862,100.3888,0
100.3888,94.2132,0
94.2132,93.65619999999998,0
93.65619999999998,94.0338,1
94.0338,92.7564,0
92.7564,91.3754,0
91.3754,93.1292,1
93.1292,93.1854,1
93.1854,97.283,1
97.283,98.2416,1
98.2416,101.5966,1
101.5966,102.53000000000002,1
102.53000000000002,105.962,1
105.962,105.896,0
105.896,106.846,1
106.846,102.754,0
102.754,93.77200000000002,0
93.77200000000002,90.9544,0
90.9544,89.7264,0
89.7264,92.303,1
92.303,97.0214,1
97.0214,95.782,0
95.782,95.8736,1
95.8736,93.6922,0
93.6922,91.67839999999998,0
91.67839999999998,92.802,1
92.802,94.249,1
94.249,96.8456,1
96.8456,96.4226,0
96.4226,102.23,1
102.23,105.46,1
105.46,106.566,1
106.566,106.5,0
106.5,104.456,0
104.456,104.96999999999998,1
104.96999999999998,106.502,1
106.502,111.67,1
111.67,110.606,0
110.606,110.738,1
110.738,113.728,1
113.728,114.92400000000002,1
114.92400000000002,114.084,0
114.084,109.81,0
109.81,108.058,0
108.058,106.526,0
106.526,109.558,1
109.558,108.84,0
108.84,109.474,1
109.474,113.272,1
113.272,114.85,1
114.85,114.704,0
114.704,115.868,1
