t-1,t,movement
6121411400.470799,103.776,1
6121211835.110399,104.058,1
7534796658.364799,108.602,1
10698530110.5488,112.96,1
6448666602.432001,117.872,1
7512006370.144,123.068,1
6866785937.308001,123.334,1
8959288491.657999,121.276,0
7334290092.582399,117.496,0
6772141602.6608,120.91,1
6832213151.092001,118.596,0
5458737186.103201,119.23999999999998,1
4695465964.111999,120.2,1
4346942152.84,120.162,0
4772292324.861599,123.88,1
8962790519.352001,121.118,0
7783116465.085601,120.16,0
6590333378.624,122.912,1
5500763799.929599,125.146,1
6249283747.9408,124.558,0
4655327548.3008,122.564,0
5699175430.0936,121.694,0
4606193739.700801,121.62,0
5345173143.588,120.4,0
5040815936.8,118.484,0
5998499894.592,120.218,1
5149863965.0416,122.698,1
8955434704.2848,117.58,0
4703438734.432,111.738,0
9107358368.803202,111.034,0
7896152619.9248,110.678,0
5430007269.7392,102.6214,0
12319751899.49672,106.692,1
6707962213.411201,107.084,1
6761204796.258399,110.316,1
6381466574.4744,109.788,0
5557168048.2864,105.79,0
6927419170.39,106.31199999999998,1
5819738371.755199,106.696,1
4115302341.0096,110.026,1
5097586065.2556,112.952,1
7596398627.148801,116.72,1
4744889464.528,111.97,0
5037152826.736,112.302,1
4432132855.494,113.748,1
3518306742.3240004,112.858,0
4680628113.089999,110.848,0
5106361257.2672,104.77800000000002,0
6494597816.925602,103.862,0
2948902271.2204,100.3888,0
5085927040.45152,94.2132,0
5953024332.31824,93.65619999999998,0
6016715190.477639,94.0338,1
7046748517.276441,92.7564,0
4336417112.673359,91.3754,0
4247083141.87604,93.1292,1
3787176587.752801,93.1854,1
2885250841.50996,97.283,1
3819408503.683,98.2416,1
2964886748.77536,101.5966,1
3821993604.27892,102.53000000000002,1
2926937792.5620003,105.962,1
3455039695.8783994,105.896,0
2821486246.656,106.846,1
4088735587.5448,102.754,0
3096350051.1324,93.77200000000002,0
6622832718.454402,90.9544,0
3797519540.8955193,89.7264,0
4306734781.77888,92.303,1
3430284873.7058,97.0214,1
3829010713.29056,95.782,0
2665816539.2808,95.8736,1
2701667695.18528,93.6922,0
3396514156.44856,91.67839999999998,0
3819385897.159359,92.802,1
2806667420.9784,94.249,1
2254094917.4698,96.8456,1
2927319720.98432,96.4226,0
4442734393.94944,102.23,1
3307518342.0799994,105.46,1
2845851514.512,106.566,1
2638832028.4068,106.5,0
2382447152.7000003,104.456,0
2606515741.896,104.96999999999998,1
3475214875.6919994,106.502,1
7420165616.5164,111.67,1
4869843719.13,110.606,0
3789181404.9472,110.738,1
2975672446.9204006,113.728,1
4474777007.2064,114.92400000000002,1
2855567792.1648006,114.084,0
4089899398.363199,109.81,0
3592097208.996,108.058,0
4336237913.623199,106.526,0
4368506091.95,109.558,1
2488559222.7344,108.84,0
3195484279.44,109.474,1
3249005695.4732003,113.272,1
4196558530.2128,114.85,1
2468460414.89,114.704,0
2561540226.1312,115.868,1
