t-1,t-2,t-3,t-4,t-5,t,movement
112.96,108.602,104.058,103.776,102.52199999999998,117.872,1
117.872,112.96,108.602,104.058,103.776,123.068,1
123.068,117.872,112.96,108.602,104.058,123.334,1
123.334,123.068,117.872,112.96,108.602,121.276,0
121.276,123.334,123.068,117.872,112.96,117.496,0
117.496,121.276,123.334,123.068,117.872,120.91,1
120.91,117.496,121.276,123.334,123.068,118.596,0
118.596,120.91,117.496,121.276,123.334,119.23999999999998,1
119.23999999999998,118.596,120.91,117.496,121.276,120.2,1
120.2,119.23999999999998,118.596,120.91,117.496,120.162,0
120.162,120.2,119.23999999999998,118.596,120.91,123.88,1
123.88,120.162,120.2,119.23999999999998,118.596,121.118,0
121.118,123.88,120.162,120.2,119.23999999999998,120.16,0
120.16,121.118,123.88,120.162,120.2,122.912,1
122.912,120.16,121.118,123.88,120.162,125.146,1
125.146,122.912,120.16,121.118,123.88,124.558,0
124.558,125.146,122.912,120.16,121.118,122.564,0
122.564,124.558,125.146,122.912,120.16,121.694,0
121.694,122.564,124.558,125.146,122.912,121.62,0
121.62,121.694,122.564,124.558,125.146,120.4,0
120.4,121.62,121.694,122.564,124.558,118.484,0
118.484,120.4,121.62,121.694,122.564,120.218,1
120.218,118.484,120.4,121.62,121.694,122.698,1
122.698,120.218,118.484,120.4,121.62,117.58,0
117.58,122.698,120.218,118.484,120.4,111.738,0
111.738,117.58,122.698,120.218,118.484,111.034,0
111.034,111.738,117.58,122.698,120.218,110.678,0
110.678,111.034,111.738,117.58,122.698,102.6214,0
102.6214,110.678,111.034,111.738,117.58,106.692,1
106.692,102.6214,110.678,111.034,111.738,107.084,1
107.084,106.692,102.6214,110.678,111.034,110.316,1
110.316,107.084,106.692,102.6214,110.678,109.788,0
109.788,110.316,107.084,106.692,102.6214,105.79,0
105.79,109.788,110.316,107.084,106.692,106.31199999999998,1
106.31199999999998,105.79,109.788,110.316,107.084,106.696,1
106.696,106.31199999999998,105.79,109.788,110.316,110.026,1
110.026,106.696,106.31199999999998,105.79,109.788,112.952,1
112.952,110.026,106.696,106.31199999999998,105.79,116.72,1
116.72,112.952,110.026,106.696,106.31199999999998,111.97,0
111.97,116.72,112.952,110.026,106.696,112.302,1
112.302,111.97,116.72,112.952,110.026,113.748,1
113.748,112.302,111.97,116.72,112.952,112.858,0
112.858,113.748,112.302,111.97,116.72,110.848,0
110.848,112.858,113.748,112.302,111.97,104.77800000000002,0
104.77800000000002,110.848,112.858,113.748,112.302,103.862,0
103.862,104.77800000000002,110.848,112.858,113.748,100.3888,0
100.3888,103.862,104.77800000000002,110.848,112.858,94.2132,0
94.2132,100.3888,103.862,104.77800000000002,110.848,93.65619999999998,0
93.65619999999998,94.2132,100.3888,103.862,104.77800000000002,94.0338,1
94.0338,93.65619999999998,94.2132,100.3888,103.862,92.7564,0
92.7564,94.0338,93.65619999999998,94.2132,100.3888,91.3754,0
91.3754,92.7564,94.0338,93.65619999999998,94.2132,93.1292,1
93.1292,91.3754,92.7564,94.0338,93.65619999999998,93.1854,1
93.1854,93.1292,91.3754,92.7564,94.0338,97.283,1
97.283,93.1854,93.1292,91.3754,92.7564,98.2416,1
98.2416,97.283,93.1854,93.1292,91.3754,101.5966,1
101.5966,98.2416,97.283,93.1854,93.1292,102.53000000000002,1
102.53000000000002,101.5966,98.2416,97.283,93.1854,105.962,1
105.962,102.53000000000002,101.5966,98.2416,97.283,105.896,0
105.896,105.962,102.53000000000002,101.5966,98.2416,106.846,1
106.846,105.896,105.962,102.53000000000002,101.5966,102.754,0
102.754,106.846,105.896,105.962,102.53000000000002,93.77200000000002,0
93.77200000000002,102.754,106.846,105.896,105.962,90.9544,0
90.9544,93.77200000000002,102.754,106.846,105.896,89.7264,0
89.7264,90.9544,93.77200000000002,102.754,106.846,92.303,1
92.303,89.7264,90.9544,93.77200000000002,102.754,97.0214,1
97.0214,92.303,89.7264,90.9544,93.77200000000002,95.782,0
95.782,97.0214,92.303,89.7264,90.9544,95.8736,1
95.8736,95.782,97.0214,92.303,89.7264,93.6922,0
93.6922,95.8736,95.782,97.0214,92.303,91.67839999999998,0
91.67839999999998,93.6922,95.8736,95.782,97.0214,92.802,1
92.802,91.67839999999998,93.6922,95.8736,95.782,94.249,1
94.249,92.802,91.67839999999998,93.6922,95.8736,96.8456,1
96.8456,94.249,92.802,91.67839999999998,93.6922,96.4226,0
96.4226,96.8456,94.249,92.802,91.67839999999998,102.23,1
102.23,96.4226,96.8456,94.249,92.802,105.46,1
105.46,102.23,96.4226,96.8456,94.249,106.566,1
106.566,105.46,102.23,96.4226,96.8456,106.5,0
106.5,106.566,105.46,102.23,96.4226,104.456,0
104.456,106.5,106.566,105.46,102.23,104.96999999999998,1
104.96999999999998,104.456,106.5,106.566,105.46,106.502,1
106.502,104.96999999999998,104.456,106.5,106.566,111.67,1
111.67,106.502,104.96999999999998,104.456,106.5,110.606,0
110.606,111.67,106.502,104.96999999999998,104.456,110.738,1
110.738,110.606,111.67,106.502,104.96999999999998,113.728,1
113.728,110.738,110.606,111.67,106.502,114.92400000000002,1
114.92400000000002,113.728,110.738,110.606,111.67,114.084,0
114.084,114.92400000000002,113.728,110.738,110.606,109.81,0
109.81,114.084,114.92400000000002,113.728,110.738,108.058,0
108.058,109.81,114.084,114.92400000000002,113.728,106.526,0
106.526,108.058,109.81,114.084,114.92400000000002,109.558,1
109.558,106.526,108.058,109.81,114.084,108.84,0
108.84,109.558,106.526,108.058,109.81,109.474,1
109.474,108.84,109.558,106.526,108.058,113.272,1
113.272,109.474,108.84,109.558,106.526,114.85,1
114.85,113.272,109.474,108.84,109.558,114.704,0
114.704,114.85,113.272,109.474,108.84,115.868,1
115.868,114.704,114.85,113.272,109.474,117.716,1
