,t-1,t-2,t-3,t-4,t-5,t,movement
40,4432132855.494,5037152826.736,4744889464.528,7596398627.148801,5097586065.2556,113.748,1
24,4703438734.432,8955434704.2848,5149863965.0416,5998499894.592,5040815936.8,111.738,0
93,3249005695.4732003,3195484279.44,2488559222.7344,4368506091.95,4336237913.623199,113.272,1
126,5511011106.202001,3587408420.478,3132690806.352,3315564411.0260005,3036034796.952,158.368,1
112,2614683585.0688004,2415100114.5248003,2865596300.9232,3038280085.92,3514121716.8092003,145.63,1
64,4306734781.77888,3797519540.8955193,6622832718.454402,3096350051.1324,4088735587.5448,92.303,1
44,6494597816.925602,5106361257.2672,4680628113.089999,3518306742.3240004,4432132855.494,103.862,0
15,6249283747.9408,5500763799.929599,6590333378.624,7783116465.085601,8962790519.352001,124.558,0
89,4336237913.623199,3592097208.996,4089899398.363199,2855567792.1648006,4474777007.2064,106.526,0
39,5037152826.736,4744889464.528,7596398627.148801,5097586065.2556,4115302341.0096,112.302,1
22,5149863965.0416,5998499894.592,5040815936.8,5345173143.588,4606193739.700801,122.698,1
105,2623716713.6184,3366336712.7096004,2747352568.68,3479763986.908801,3659852283.884,138.084,1
76,2845851514.512,3307518342.0799994,4442734393.94944,2927319720.98432,2254094917.4698,106.566,1
100,5550052336.5272,3032275675.9680004,3181945528.052,2965906542.8104005,2561540226.1312,128.23,1
47,5953024332.31824,5085927040.45152,2948902271.2204,6494597816.925602,5106361257.2672,93.65619999999998,0
30,6761204796.258399,6707962213.411201,12319751899.49672,5430007269.7392,7896152619.9248,110.316,1
83,3789181404.9472,4869843719.13,7420165616.5164,3475214875.6919994,2606515741.896,110.738,1
73,2927319720.98432,2254094917.4698,2806667420.9784,3819385897.159359,3396514156.44856,96.4226,0
9,4346942152.84,4695465964.111999,5458737186.103201,6832213151.092001,6772141602.6608,120.162,0
33,6927419170.39,5557168048.2864,6381466574.4744,6761204796.258399,6707962213.411201,106.31199999999998,1
77,2638832028.4068,2845851514.512,3307518342.0799994,4442734393.94944,2927319720.98432,106.5,0
25,9107358368.803202,4703438734.432,8955434704.2848,5149863965.0416,5998499894.592,111.034,0
86,2855567792.1648006,4474777007.2064,2975672446.9204006,3789181404.9472,4869843719.13,114.084,0
62,6622832718.454402,3096350051.1324,4088735587.5448,2821486246.656,3455039695.8783994,90.9544,0
68,2701667695.18528,2665816539.2808,3829010713.29056,3430284873.7058,4306734781.77888,93.6922,0
135,2722664426.9336004,3177181747.9236,5811083078.2704,5492043452.219999,6361409939.0256,158.054,1
53,2885250841.50996,3787176587.752801,4247083141.87604,4336417112.673359,7046748517.276441,97.283,1
5,6772141602.6608,7334290092.582399,8959288491.657999,6866785937.308001,7512006370.144,120.91,1
80,3475214875.6919994,2606515741.896,2382447152.7000003,2638832028.4068,2845851514.512,106.502,1
85,4474777007.2064,2975672446.9204006,3789181404.9472,4869843719.13,7420165616.5164,114.92400000000002,1
49,7046748517.276441,6016715190.477639,5953024332.31824,5085927040.45152,2948902271.2204,92.7564,0
35,4115302341.0096,5819738371.755199,6927419170.39,5557168048.2864,6381466574.4744,110.026,1
34,5819738371.755199,6927419170.39,5557168048.2864,6381466574.4744,6761204796.258399,106.696,1
97,2965906542.8104005,2561540226.1312,2468460414.89,4196558530.2128,3249005695.4732003,117.716,1
7,5458737186.103201,6832213151.092001,6772141602.6608,7334290092.582399,8959288491.657999,119.23999999999998,1
43,5106361257.2672,4680628113.089999,3518306742.3240004,4432132855.494,5037152826.736,104.77800000000002,0
70,3819385897.159359,3396514156.44856,2701667695.18528,2665816539.2808,3829010713.29056,92.802,1
84,2975672446.9204006,3789181404.9472,4869843719.13,7420165616.5164,3475214875.6919994,113.728,1
117,3504959514.3264,3171629905.1192,4818271892.9484,5336979819.298801,5134362939.962,150.70800000000003,0
123,3315564411.0260005,3036034796.952,3330699312.6680007,3682128032.7152,5216075780.352,150.16000000000005,1
8,4695465964.111999,5458737186.103201,6832213151.092001,6772141602.6608,7334290092.582399,120.2,1
