,Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
5125,193279926,306165093.0,189804833.0,196766476.0,623374174.0,4.0519,4.094,4.13,4.1324,4.4336,4.4157,0
5126,306165093,189804833.0,196766476.0,623374174.0,481739953.0,4.094,4.13,4.1324,4.4336,4.4157,4.1338,0
5127,189804833,196766476.0,623374174.0,481739953.0,729158970.0,4.13,4.1324,4.4336,4.4157,4.1338,4.1915,1
5128,196766476,623374174.0,481739953.0,729158970.0,547180055.0,4.1324,4.4336,4.4157,4.1338,4.1915,4.4692,1
5129,623374174,481739953.0,729158970.0,547180055.0,883558526.0,4.4336,4.4157,4.1338,4.1915,4.4692,4.4951,1
5130,481739953,729158970.0,547180055.0,883558526.0,493905099.0,4.4157,4.1338,4.1915,4.4692,4.4951,4.5244,1
5131,729158970,547180055.0,883558526.0,493905099.0,280936639.0,4.1338,4.1915,4.4692,4.4951,4.5244,4.4745,0
5132,547180055,883558526.0,493905099.0,280936639.0,209902579.0,4.1915,4.4692,4.4951,4.5244,4.4745,4.5117,1
5133,883558526,493905099.0,280936639.0,209902579.0,255198897.0,4.4692,4.4951,4.5244,4.4745,4.5117,4.5129,1
5134,493905099,280936639.0,209902579.0,255198897.0,254326762.0,4.4951,4.5244,4.4745,4.5117,4.5129,4.5309,1
5135,280936639,209902579.0,255198897.0,254326762.0,235287161.0,4.5244,4.4745,4.5117,4.5129,4.5309,4.6128,1
5136,209902579,255198897.0,254326762.0,235287161.0,270546786.0,4.4745,4.5117,4.5129,4.5309,4.6128,4.6258,1
5137,255198897,254326762.0,235287161.0,270546786.0,207570917.0,4.5117,4.5129,4.5309,4.6128,4.6258,4.6512,1
5138,254326762,235287161.0,270546786.0,207570917.0,138434248.0,4.5129,4.5309,4.6128,4.6258,4.6512,4.737,1
5139,235287161,270546786.0,207570917.0,138434248.0,223630965.0,4.5309,4.6128,4.6258,4.6512,4.737,4.9239,1
5140,270546786,207570917.0,138434248.0,223630965.0,469653202.0,4.6128,4.6258,4.6512,4.737,4.9239,4.9652,1
5141,207570917,138434248.0,223630965.0,469653202.0,189309189.0,4.6258,4.6512,4.737,4.9239,4.9652,5.098,1
5142,138434248,223630965.0,469653202.0,189309189.0,285657133.0,4.6512,4.737,4.9239,4.9652,5.098,4.9829,0
5143,223630965,469653202.0,189309189.0,285657133.0,204319014.0,4.737,4.9239,4.9652,5.098,4.9829,5.0485,1
