Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
23220030,18022532.0,42498199.0,37125801.0,57822062.0,0.42388,0.42134,0.42902,0.41618,0.43927,0.44566,1
18022532,42498199.0,37125801.0,57822062.0,68847968.0,0.42134,0.42902,0.41618,0.43927,0.44566,0.45718,1
42498199,37125801.0,57822062.0,68847968.0,53755262.0,0.42902,0.41618,0.43927,0.44566,0.45718,0.44052,0
37125801,57822062.0,68847968.0,53755262.0,27136886.0,0.41618,0.43927,0.44566,0.45718,0.44052,0.43157,0
57822062,68847968.0,53755262.0,27136886.0,29641922.0,0.43927,0.44566,0.45718,0.44052,0.43157,0.43286,1
68847968,53755262.0,27136886.0,29641922.0,18453585.0,0.44566,0.45718,0.44052,0.43157,0.43286,0.42902,0
53755262,27136886.0,29641922.0,18453585.0,27842780.0,0.45718,0.44052,0.43157,0.43286,0.42902,0.42516,0
27136886,29641922.0,18453585.0,27842780.0,22033109.0,0.44052,0.43157,0.43286,0.42902,0.42516,0.41618,0
29641922,18453585.0,27842780.0,22033109.0,46515020.0,0.43157,0.43286,0.42902,0.42516,0.41618,0.41111,0
18453585,27842780.0,22033109.0,46515020.0,30947546.0,0.43286,0.42902,0.42516,0.41618,0.41111,0.41111,0
27842780,22033109.0,46515020.0,30947546.0,29541971.0,0.42902,0.42516,0.41618,0.41111,0.41111,0.40081,0
22033109,46515020.0,30947546.0,29541971.0,65093531.0,0.42516,0.41618,0.41111,0.41111,0.40081,0.39186,0
46515020,30947546.0,29541971.0,65093531.0,27268068.0,0.41618,0.41111,0.41111,0.40081,0.39186,0.39443,1
30947546,29541971.0,65093531.0,27268068.0,32977801.0,0.41111,0.41111,0.40081,0.39186,0.39443,0.40081,1
29541971,65093531.0,27268068.0,32977801.0,33583772.0,0.41111,0.40081,0.39186,0.39443,0.40081,0.40593,1
65093531,27268068.0,32977801.0,33583772.0,34995586.0,0.40081,0.39186,0.39443,0.40081,0.40593,0.39699,0
27268068,32977801.0,33583772.0,34995586.0,27211851.0,0.39186,0.39443,0.40081,0.40593,0.39699,0.39699,0
32977801,33583772.0,34995586.0,27211851.0,13099922.0,0.39443,0.40081,0.40593,0.39699,0.39699,0.39316,0
33583772,34995586.0,27211851.0,13099922.0,34933112.0,0.40081,0.40593,0.39699,0.39699,0.39316,0.38164,0
34995586,27211851.0,13099922.0,34933112.0,101750813.0,0.40593,0.39699,0.39699,0.39316,0.38164,0.37906,0
27211851,13099922.0,34933112.0,101750813.0,50969114.0,0.39699,0.39699,0.39316,0.38164,0.37906,0.36241,0
13099922,34933112.0,101750813.0,50969114.0,74126674.0,0.39699,0.39316,0.38164,0.37906,0.36241,0.38289,1
34933112,101750813.0,50969114.0,74126674.0,67842205.0,0.39316,0.38164,0.37906,0.36241,0.38289,0.38164,0
101750813,50969114.0,74126674.0,67842205.0,32915346.0,0.38164,0.37906,0.36241,0.38289,0.38164,0.39699,1
50969114,74126674.0,67842205.0,32915346.0,43685142.0,0.37906,0.36241,0.38289,0.38164,0.39699,0.40853,1
74126674,67842205.0,32915346.0,43685142.0,68929180.0,0.36241,0.38289,0.38164,0.39699,0.40853,0.40853,0
67842205,32915346.0,43685142.0,68929180.0,90949795.0,0.38289,0.38164,0.39699,0.40853,0.40853,0.40593,0
32915346,43685142.0,68929180.0,90949795.0,32003288.0,0.38164,0.39699,0.40853,0.40853,0.40593,0.41491,1
43685142,68929180.0,90949795.0,32003288.0,51993625.0,0.39699,0.40853,0.40853,0.40593,0.41491,0.41874,1
68929180,90949795.0,32003288.0,51993625.0,46577491.0,0.40853,0.40853,0.40593,0.41491,0.41874,0.40339,0
90949795,32003288.0,51993625.0,46577491.0,44109940.0,0.40853,0.40593,0.41491,0.41874,0.40339,0.39316,0
32003288,51993625.0,46577491.0,44109940.0,32028264.0,0.40593,0.41491,0.41874,0.40339,0.39316,0.39443,1
51993625,46577491.0,44109940.0,32028264.0,14124427.0,0.41491,0.41874,0.40339,0.39316,0.39443,0.39956,1
46577491,44109940.0,32028264.0,14124427.0,20802447.0,0.41874,0.40339,0.39316,0.39443,0.39956,0.39699,0
44109940,32028264.0,14124427.0,20802447.0,16798133.0,0.40339,0.39316,0.39443,0.39956,0.39699,0.39956,1
32028264,14124427.0,20802447.0,16798133.0,13118654.0,0.39316,0.39443,0.39956,0.39699,0.39956,0.39699,0
14124427,20802447.0,16798133.0,13118654.0,7721268.0,0.39443,0.39956,0.39699,0.39956,0.39699,0.39443,0
20802447,16798133.0,13118654.0,7721268.0,29385798.0,0.39956,0.39699,0.39956,0.39699,0.39443,0.41874,1
16798133,13118654.0,7721268.0,29385798.0,62838381.0,0.39699,0.39956,0.39699,0.39443,0.41874,0.41111,0
13118654,7721268.0,29385798.0,62838381.0,64575036.0,0.39956,0.39699,0.39443,0.41874,0.41111,0.39443,0
7721268,29385798.0,62838381.0,64575036.0,24575618.0,0.39699,0.39443,0.41874,0.41111,0.39443,0.37138,0
29385798,62838381.0,64575036.0,24575618.0,82029108.0,0.39443,0.41874,0.41111,0.39443,0.37138,0.38419,1
62838381,64575036.0,24575618.0,82029108.0,31584733.0,0.41874,0.41111,0.39443,0.37138,0.38419,0.37522,0
64575036,24575618.0,82029108.0,31584733.0,35326680.0,0.41111,0.39443,0.37138,0.38419,0.37522,0.37906,1
24575618,82029108.0,31584733.0,35326680.0,29098422.0,0.39443,0.37138,0.38419,0.37522,0.37906,0.37906,0
82029108,31584733.0,35326680.0,29098422.0,29729373.0,0.37138,0.38419,0.37522,0.37906,0.37906,0.37138,0
31584733,35326680.0,29098422.0,29729373.0,46227662.0,0.38419,0.37522,0.37906,0.37906,0.37138,0.34962,0
35326680,29098422.0,29729373.0,46227662.0,64974836.0,0.37522,0.37906,0.37906,0.37138,0.34962,0.36112,1
29098422,29729373.0,46227662.0,64974836.0,73414508.0,0.37906,0.37906,0.37138,0.34962,0.36112,0.36883,1
29729373,46227662.0,64974836.0,73414508.0,49844653.0,0.37906,0.37138,0.34962,0.36112,0.36883,0.37906,1
46227662,64974836.0,73414508.0,49844653.0,38231510.0,0.37138,0.34962,0.36112,0.36883,0.37906,0.38289,1
64974836,73414508.0,49844653.0,38231510.0,28067691.0,0.34962,0.36112,0.36883,0.37906,0.38289,0.39316,1
73414508,49844653.0,38231510.0,28067691.0,35532822.0,0.36112,0.36883,0.37906,0.38289,0.39316,0.41366,1
49844653,38231510.0,28067691.0,35532822.0,114488422.0,0.36883,0.37906,0.38289,0.39316,0.41366,0.40593,0
38231510,28067691.0,35532822.0,114488422.0,48770186.0,0.37906,0.38289,0.39316,0.41366,0.40593,0.39443,0
28067691,35532822.0,114488422.0,48770186.0,30316603.0,0.38289,0.39316,0.41366,0.40593,0.39443,0.38932,0
35532822,114488422.0,48770186.0,30316603.0,27330541.0,0.39316,0.41366,0.40593,0.39443,0.38932,0.39699,1
114488422,48770186.0,30316603.0,27330541.0,33571272.0,0.41366,0.40593,0.39443,0.38932,0.39699,0.41618,1
48770186,30316603.0,27330541.0,33571272.0,73320817.0,0.40593,0.39443,0.38932,0.39699,0.41618,0.43668,1
30316603,27330541.0,33571272.0,73320817.0,88482241.0,0.39443,0.38932,0.39699,0.41618,0.43668,0.4354,0
27330541,33571272.0,73320817.0,88482241.0,137914578.0,0.38932,0.39699,0.41618,0.43668,0.4354,0.42646,0
33571272,73320817.0,88482241.0,137914578.0,31091217.0,0.39699,0.41618,0.43668,0.4354,0.42646,0.42134,0
73320817,88482241.0,137914578.0,31091217.0,34520809.0,0.41618,0.43668,0.4354,0.42646,0.42134,0.40724,0
88482241,137914578.0,31091217.0,34520809.0,30697671.0,0.43668,0.4354,0.42646,0.42134,0.40724,0.41111,1
137914578,31091217.0,34520809.0,30697671.0,18640984.0,0.4354,0.42646,0.42134,0.40724,0.41111,0.42134,1
31091217,34520809.0,30697671.0,18640984.0,26812043.0,0.42646,0.42134,0.40724,0.41111,0.42134,0.43157,1
34520809,30697671.0,18640984.0,26812043.0,34926875.0,0.42134,0.40724,0.41111,0.42134,0.43157,0.45718,1
30697671,18640984.0,26812043.0,34926875.0,94979083.0,0.40724,0.41111,0.42134,0.43157,0.45718,0.43927,0
18640984,26812043.0,34926875.0,94979083.0,88544707.0,0.41111,0.42134,0.43157,0.45718,0.43927,0.43668,0
26812043,34926875.0,94979083.0,88544707.0,38999900.0,0.42134,0.43157,0.45718,0.43927,0.43668,0.43157,0
34926875,94979083.0,88544707.0,38999900.0,34552047.0,0.43157,0.45718,0.43927,0.43668,0.43157,0.43927,1
94979083,88544707.0,38999900.0,34552047.0,18834649.0,0.45718,0.43927,0.43668,0.43157,0.43927,0.44052,1
88544707,38999900.0,34552047.0,18834649.0,18734702.0,0.43927,0.43668,0.43157,0.43927,0.44052,0.44309,1
38999900,34552047.0,18834649.0,18734702.0,27542935.0,0.43668,0.43157,0.43927,0.44052,0.44309,0.45845,1
34552047,18834649.0,18734702.0,27542935.0,46108958.0,0.43157,0.43927,0.44052,0.44309,0.45845,0.46487,1
18834649,18734702.0,27542935.0,46108958.0,57940741.0,0.43927,0.44052,0.44309,0.45845,0.46487,0.44566,0
18734702,27542935.0,46108958.0,57940741.0,48888858.0,0.44052,0.44309,0.45845,0.46487,0.44566,0.45335,1
27542935,46108958.0,57940741.0,48888858.0,46465028.0,0.44309,0.45845,0.46487,0.44566,0.45335,0.45335,0
46108958,57940741.0,48888858.0,46465028.0,38281489.0,0.45845,0.46487,0.44566,0.45335,0.45335,0.45081,0
57940741,48888858.0,46465028.0,38281489.0,47664469.0,0.46487,0.44566,0.45335,0.45335,0.45081,0.44694,0
48888858,46465028.0,38281489.0,47664469.0,39355963.0,0.44566,0.45335,0.45335,0.45081,0.44694,0.45845,1
46465028,38281489.0,47664469.0,39355963.0,46496285.0,0.45335,0.45335,0.45081,0.44694,0.45845,0.47898,1
38281489,47664469.0,39355963.0,46496285.0,77268906.0,0.45335,0.45081,0.44694,0.45845,0.47898,0.47512,0
47664469,39355963.0,46496285.0,77268906.0,57184863.0,0.45081,0.44694,0.45845,0.47898,0.47512,0.48791,1
39355963,46496285.0,77268906.0,57184863.0,75419782.0,0.44694,0.45845,0.47898,0.47512,0.48791,0.47898,0
46496285,77268906.0,57184863.0,75419782.0,73895529.0,0.45845,0.47898,0.47512,0.48791,0.47898,0.48291,1
77268906,57184863.0,75419782.0,73895529.0,52955655.0,0.47898,0.47512,0.48791,0.47898,0.48291,0.44821,0
57184863,75419782.0,73895529.0,52955655.0,152694928.0,0.47512,0.48791,0.47898,0.48291,0.44821,0.45718,1
75419782,73895529.0,52955655.0,152694928.0,98352467.0,0.48791,0.47898,0.48291,0.44821,0.45718,0.46742,1
